host_time,t_s,seq,cycle,irms,p_w,phase_deg,range,over_count,over_range,freq_hz,vrms,thd_v,pll_locked,cal_applied,win_range,win_over_range_count,win_clip_volt_count,ih1,ih2,ih3,ih4,ih5,ih6,ih7,ih8,ih9,ih10,ih11,ih12,ih13,ih14,ih15,ihdeg1,ihdeg2,ihdeg3,ihdeg4,ihdeg5,ihdeg6,ihdeg7,ihdeg8,ihdeg9,ihdeg10,ihdeg11,ihdeg12,ihdeg13,ihdeg14,ihdeg15,vh1,vh2,vh3,vh4,vh5,vh6,vh7,vh8,vh9,vh10,vh11,vh12,vh13,vh14,vh15
2026-08-05 08:29:23.691,0.000000,77,0,0.252904,0.0067,-76.77,0,0,0,63.0122,0.223,2.16886,0,0,0,0,0,0.132222,0.028571,0.120188,0.028764,0.106182,0.028228,0.090975,0.026997,0.071854,0.024640,0.051593,0.020819,0.031355,0.016115,0.012025,76.77,-19.40,-143.02,138.20,1.48,-65.43,144.74,90.14,-71.92,-115.85,71.49,38.83,-147.37,-164.62,-20.64,0.0102,0.0061,0.0133,0.0032,0.0063,0.0043,0.0032,0.0049,0.0051,0.0080,0.0021,0.0020,0.0073,0.0040,0.0031
2026-08-05 08:29:23.691,0.016667,77,1,0.232982,0.0073,44.82,0,0,0,63.0122,0.223,2.16886,0,0,0,0,0,0.121533,0.023881,0.110374,0.024365,0.097731,0.024875,0.084309,0.024442,0.067333,0.022896,0.049224,0.019877,0.031092,0.015688,0.014344,-44.82,99.24,-148.45,14.87,112.29,-71.80,11.70,-159.94,-88.90,110.45,170.27,20.38,66.76,-68.81,-52.96,0.0102,0.0061,0.0133,0.0032,0.0063,0.0043,0.0032,0.0049,0.0051,0.0080,0.0021,0.0020,0.0073,0.0040,0.0031
2026-08-05 08:29:23.691,0.033333,77,2,0.229356,0.0013,-68.01,0,0,0,63.0122,0.223,2.16886,0,0,0,0,0,0.116581,0.032900,0.105663,0.032499,0.093534,0.031411,0.081373,0.029570,0.065654,0.026789,0.048835,0.022556,0.032048,0.017459,0.017368,68.01,-39.33,-170.55,98.35,-44.51,-124.62,80.06,12.21,-155.83,147.87,-32.17,-76.96,87.72,59.20,-168.09,0.0102,0.0061,0.0133,0.0032,0.0063,0.0043,0.0032,0.0049,0.0051,0.0080,0.0021,0.0020,0.0073,0.0040,0.0031
2026-08-05 08:29:23.691,0.050000,77,3,0.241330,0.0027,-85.94,0,0,0,63.0122,0.223,2.16886,0,0,0,0,0,0.121924,0.040449,0.110504,0.039383,0.097562,0.036903,0.084375,0.033368,0.067585,0.029201,0.049620,0.023933,0.031750,0.017758,0.016066,85.94,-6.07,-116.57,166.00,45.45,-22.68,-153.84,149.36,6.38,-38.80,166.09,132.67,-37.67,-54.49,102.18,0.0102,0.0061,0.0133,0.0032,0.0063,0.0043,0.0032,0.0049,0.0051,0.0080,0.0021,0.0020,0.0073,0.0040,0.0031
2026-08-05 08:29:23.691,0.066667,77,4,0.237951,-0.0062,-163.25,0,0,0,63.0122,0.223,2.16886,0,0,0,0,0,0.121611,0.036146,0.110078,0.035986,0.097111,0.035038,0.083143,0.032903,0.065930,0.029652,0.047635,0.025237,0.029145,0.019624,0.012141,163.25,151.58,115.64,120.80,72.42,88.93,28.01,56.76,-16.41,24.21,-61.11,-8.46,-108.23,-39.74,-171.24,0.0102,0.0061,0.0133,0.0032,0.0063,0.0043,0.0032,0.0049,0.0051,0.0080,0.0021,0.0020,0.0073,0.0040,0.0031
2026-08-05 08:29:23.691,0.083333,77,5,0.264910,-0.0028,-82.30,0,0,0,63.0122,0.223,2.16886,0,0,0,0,0,0.138801,0.025549,0.126725,0.026426,0.112270,0.027116,0.096063,0.026937,0.075956,0.025389,0.054732,0.022332,0.033311,0.017814,0.012507,82.30,-4.59,-125.54,167.28,30.46,-23.44,-174.52,144.14,-19.19,-49.32,136.69,116.93,-68.27,-74.44,80.56,0.0102,0.0061,0.0133,0.0032,0.0063,0.0043,0.0032,0.0049,0.0051,0.0080,0.0021,0.0020,0.0073,0.0040,0.0031
2026-08-05 08:29:23.691,0.100000,77,6,0.307644,0.0145,6.68,0,0,0,63.0122,0.223,2.16886,0,0,0,0,0,0.163757,0.026558,0.149910,0.027486,0.132137,0.027850,0.111504,0.027217,0.086281,0.024955,0.059897,0.020833,0.033925,0.015142,0.010240,-6.68,177.28,-31.37,171.24,-52.33,162.05,-74.08,150.96,-94.90,139.11,-114.38,127.23,-131.29,118.15,-130.36,0.0102,0.0061,0.0133,0.0032,0.0063,0.0043,0.0032,0.0049,0.0051,0.0080,0.0021,0.0020,0.0073,0.0040,0.0031
2026-08-05 08:29:23.691,0.116667,77,7,0.287775,0.0012,-139.29,0,0,0,63.0122,0.223,2.16886,0,0,0,0,0,0.149103,0.039210,0.135907,0.040047,0.119161,0.040036,0.100498,0.038592,0.077763,0.035479,0.053903,0.030474,0.030346,0.023876,0.007913,139.29,106.82,45.35,30.87,-44.57,-47.27,-135.46,-126.41,134.16,154.07,44.16,74.18,-46.16,-3.58,-141.07,0.0102,0.0061,0.0133,0.0032,0.0063,0.0043,0.0032,0.0049,0.0051,0.0080,0.0021,0.0020,0.0073,0.0040,0.0031
2026-08-05 08:29:23.691,0.133333,77,8,0.286224,-0.0020,112.37,0,0,0,63.0122,0.223,2.16886,0,0,0,0,0,0.148627,0.040528,0.135293,0.040587,0.118803,0.039836,0.100071,0.037519,0.077367,0.033493,0.053528,0.027896,0.030097,0.021197,0.008216,-112.37,-37.63,10.38,102.40,137.09,-119.04,-97.17,18.51,28.71,155.98,154.76,-66.06,-80.69,74.67,28.57,0.0102,0.0061,0.0133,0.0032,0.0063,0.0043,0.0032,0.0049,0.0051,0.0080,0.0021,0.0020,0.0073,0.0040,0.0031
2026-08-05 08:29:23.691,0.150000,77,9,0.300181,-0.0228,-123.79,0,0,0,63.0122,0.223,2.16886,0,0,0,0,0,0.160175,0.011049,0.146911,0.015901,0.130193,0.020182,0.110950,0.022361,0.086656,0.022561,0.061518,0.019766,0.035962,0.015115,0.012197,123.79,108.13,0.49,7.17,-119.31,-104.27,120.05,141.59,0.11,24.86,-118.99,-90.50,123.90,154.50,10.79,0.0102,0.0061,0.0133,0.0032,0.0063,0.0043,0.0032,0.0049,0.0051,0.0080,0.0021,0.0020,0.0073,0.0040,0.0031
