====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_dither — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.5158 (pw 0.0100 harm 2.2533)  [11s, 4,584 win/s]
  ep  2  loss 0.3464 (pw 0.0075 harm 2.1091)  [11s, 4,514 win/s]
  ep  3  loss 0.3134 (pw 0.0061 harm 2.0750)  [10s, 4,848 win/s]
  ep  4  loss 0.2909 (pw 0.0055 harm 1.9701)  [10s, 4,841 win/s]
  ep  5  loss 0.2787 (pw 0.0050 harm 1.8808)  [11s, 4,694 win/s]
  ep  6  loss 0.2604 (pw 0.0043 harm 1.7359)  [5s, 9,530 win/s]
  ep  7  loss 0.2520 (pw 0.0040 harm 1.6938)  [6s, 8,842 win/s]
  ep  8  loss 0.2448 (pw 0.0036 harm 1.6642)  [6s, 8,526 win/s]
  ep  9  loss 0.2400 (pw 0.0031 harm 1.6572)  [5s, 9,132 win/s]
  ep 10  loss 0.2361 (pw 0.0028 harm 1.6562)  |  MAE 8.428W  F1 0.9214  저항3종 0.990  잔차 44.1W  [5s 학습 / 0s 평가, 9,136 win/s]
  ep 11  loss 0.2346 (pw 0.0027 harm 1.6533)  [6s, 8,949 win/s]
  ep 12  loss 0.2331 (pw 0.0026 harm 1.6525)  [11s, 4,603 win/s]
  ep 13  loss 0.2273 (pw 0.0025 harm 1.6254)  [5s, 9,107 win/s]
  ep 14  loss 0.2320 (pw 0.0025 harm 1.6694)  [10s, 5,048 win/s]
  ep 15  loss 0.2232 (pw 0.0024 harm 1.6136)  [7s, 7,287 win/s]
  ep 16  loss 0.2283 (pw 0.0024 harm 1.6619)  [10s, 4,934 win/s]
  ep 17  loss 0.2224 (pw 0.0022 harm 1.6290)  [6s, 8,872 win/s]
