====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_drop — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.4924 (pw 0.0100 harm 2.0610)  [6s, 8,175 win/s]
  ep  2  loss 0.3200 (pw 0.0073 harm 1.9322)  [11s, 4,661 win/s]
  ep  3  loss 0.2817 (pw 0.0058 harm 1.8699)  [5s, 9,326 win/s]
  ep  4  loss 0.2647 (pw 0.0052 harm 1.8063)  [8s, 6,513 win/s]
  ep  5  loss 0.2398 (pw 0.0043 harm 1.6012)  [5s, 9,384 win/s]
  ep  6  loss 0.2242 (pw 0.0034 harm 1.5149)  [5s, 9,462 win/s]
  ep  7  loss 0.2123 (pw 0.0029 harm 1.4381)  [5s, 9,428 win/s]
  ep  8  loss 0.2056 (pw 0.0025 harm 1.4119)  [5s, 9,418 win/s]
  ep  9  loss 0.2057 (pw 0.0024 harm 1.4320)  [5s, 9,426 win/s]
  ep 10  loss 0.2002 (pw 0.0021 harm 1.4217)  |  MAE 6.143W  F1 0.9490  저항3종 0.996  잔차 41.8W  [5s 학습 / 0s 평가, 9,404 win/s]
  ep 11  loss 0.1970 (pw 0.0020 harm 1.4070)  [5s, 9,443 win/s]
  ep 12  loss 0.1931 (pw 0.0019 harm 1.3811)  [6s, 8,026 win/s]
  ep 13  loss 0.1956 (pw 0.0018 harm 1.4352)  [5s, 9,373 win/s]
  ep 14  loss 0.1910 (pw 0.0018 harm 1.3902)  [5s, 9,261 win/s]
  ep 15  loss 0.1893 (pw 0.0017 harm 1.3960)  [7s, 7,451 win/s]
  ep 16  loss 0.1908 (pw 0.0017 harm 1.4106)  [5s, 9,399 win/s]
  ep 17  loss 0.1892 (pw 0.0016 harm 1.4201)  [5s, 9,167 win/s]
