====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_even — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.6888 (pw 0.0100 harm 3.9883)  [7s, 7,550 win/s]
  ep  2  loss 0.5193 (pw 0.0074 harm 3.8655)  [10s, 5,083 win/s]
  ep  3  loss 0.4878 (pw 0.0060 harm 3.8758)  [6s, 8,731 win/s]
  ep  4  loss 0.4500 (pw 0.0052 harm 3.6433)  [6s, 8,886 win/s]
  ep  5  loss 0.4453 (pw 0.0046 harm 3.6337)  [6s, 8,890 win/s]
  ep  6  loss 0.4182 (pw 0.0038 harm 3.4163)  [6s, 8,944 win/s]
  ep  7  loss 0.4150 (pw 0.0034 harm 3.4285)  [6s, 8,896 win/s]
  ep  8  loss 0.4088 (pw 0.0030 harm 3.4049)  [6s, 8,949 win/s]
  ep  9  loss 0.4086 (pw 0.0027 harm 3.4266)  [6s, 8,942 win/s]
  ep 10  loss 0.4057 (pw 0.0023 harm 3.4377)  |  MAE 7.529W  F1 0.9490  저항3종 0.991  잔차 43.9W  [6s 학습 / 0s 평가, 8,931 win/s]
  ep 11  loss 0.4059 (pw 0.0023 harm 3.4587)  [6s, 8,946 win/s]
  ep 12  loss 0.4024 (pw 0.0022 harm 3.4339)  [6s, 8,928 win/s]
  ep 13  loss 0.3907 (pw 0.0021 harm 3.3496)  [6s, 8,986 win/s]
  ep 14  loss 0.4040 (pw 0.0020 harm 3.4909)  [6s, 8,840 win/s]
  ep 15  loss 0.3901 (pw 0.0019 harm 3.3686)  [6s, 8,918 win/s]
  ep 16  loss 0.4030 (pw 0.0020 harm 3.4979)  [6s, 8,922 win/s]
  ep 17  loss 0.3894 (pw 0.0018 harm 3.3958)  [6s, 8,933 win/s]
