====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_hw — 독립 창 300,000개 (19.3GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.5682 (pw 0.0133 harm 2.5824)  [8s, 6,462 win/s]
  ep  2  loss 0.4034 (pw 0.0102 harm 2.3440)  [10s, 5,041 win/s]
  ep  3  loss 0.3704 (pw 0.0083 harm 2.2893)  [6s, 7,922 win/s]
  ep  4  loss 0.3510 (pw 0.0076 harm 2.2424)  [10s, 4,834 win/s]
  ep  5  loss 0.3309 (pw 0.0068 harm 2.1160)  [6s, 8,177 win/s]
  ep  6  loss 0.3107 (pw 0.0061 harm 1.9638)  [6s, 8,329 win/s]
  ep  7  loss 0.2964 (pw 0.0054 harm 1.8847)  [6s, 8,633 win/s]
  ep  8  loss 0.2872 (pw 0.0049 harm 1.8393)  [6s, 8,727 win/s]
  ep  9  loss 0.2817 (pw 0.0045 harm 1.8218)  [6s, 8,772 win/s]
  ep 10  loss 0.2758 (pw 0.0042 harm 1.8057)  |  MAE 9.346W  F1 0.8904  저항3종 0.963  잔차 43.8W  [6s 학습 / 0s 평가, 8,759 win/s]
  ep 11  loss 0.2738 (pw 0.0041 harm 1.8052)  [6s, 8,814 win/s]
  ep 12  loss 0.2734 (pw 0.0040 harm 1.8214)  [8s, 6,023 win/s]
  ep 13  loss 0.2698 (pw 0.0038 harm 1.8121)  [6s, 8,780 win/s]
  ep 14  loss 0.2681 (pw 0.0037 harm 1.8081)  [6s, 8,732 win/s]
  ep 15  loss 0.2664 (pw 0.0037 harm 1.8107)  [8s, 6,630 win/s]
  ep 16  loss 0.2640 (pw 0.0035 harm 1.7994)  [6s, 8,649 win/s]
  ep 17  loss 0.2610 (pw 0.0035 harm 1.7939)  [6s, 8,390 win/s]
  ep 18  loss 0.2600 (pw 0.0034 harm 1.7902)  [6s, 8,733 win/s]
  ep 19  loss 0.2591 (pw 0.0034 harm 1.8022)  [6s, 8,785 win/s]
  ep 20  loss 0.2589 (pw 0.0034 harm 1.8008)  |  MAE 7.480W  F1 0.9060  저항3종 0.963  잔차 34.5W  [11s 학습 / 0s 평가, 4,411 win/s]
  ep 21  loss 0.2558 (pw 0.0032 harm 1.7891)  [6s, 8,823 win/s]
