====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 92db1dfee4dabbdd | 타깃 3059/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_la9 — 독립 창 300,000개 (23.4GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.4924 (pw 0.0098 harm 2.0847)  [15s, 3,321 win/s]
  ep  2  loss 0.3148 (pw 0.0071 harm 1.8961)  [17s, 2,949 win/s]
  ep  3  loss 0.2774 (pw 0.0056 harm 1.8543)  [16s, 3,045 win/s]
  ep  4  loss 0.2537 (pw 0.0049 harm 1.7341)  [17s, 2,948 win/s]
  ep  5  loss 0.2307 (pw 0.0039 harm 1.5580)  [17s, 2,954 win/s]
  ep  6  loss 0.2162 (pw 0.0031 harm 1.4711)  [7s, 7,141 win/s]
  ep  7  loss 0.2061 (pw 0.0027 harm 1.4163)  [9s, 5,515 win/s]
  ep  8  loss 0.2034 (pw 0.0024 harm 1.4169)  [8s, 6,256 win/s]
  ep  9  loss 0.1996 (pw 0.0021 harm 1.4015)  [7s, 7,157 win/s]
  ep 10  loss 0.1962 (pw 0.0020 harm 1.4055)  |  MAE 5.906W  F1 0.9530  저항3종 0.999  잔차 38.9W  [7s 학습 / 1s 평가, 7,162 win/s]
  ep 11  loss 0.1960 (pw 0.0019 harm 1.4158)  [7s, 7,035 win/s]
  ep 12  loss 0.1957 (pw 0.0018 harm 1.4230)  [13s, 3,784 win/s]
  ep 13  loss 0.1930 (pw 0.0017 harm 1.4095)  [7s, 6,925 win/s]
  ep 14  loss 0.1893 (pw 0.0017 harm 1.3885)  [16s, 3,171 win/s]
  ep 15  loss 0.1891 (pw 0.0016 harm 1.4015)  [11s, 4,744 win/s]
  ep 16  loss 0.1870 (pw 0.0017 harm 1.3838)  [19s, 2,660 win/s]
  ep 17  loss 0.1844 (pw 0.0015 harm 1.3910)  [8s, 6,167 win/s]
