====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_mag1 — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.4260 (pw 0.0100 harm 1.4273)  [10s, 5,077 win/s]
  ep  2  loss 0.2506 (pw 0.0074 harm 1.1346)  [13s, 3,746 win/s]
  ep  3  loss 0.2153 (pw 0.0062 harm 1.0620)  [7s, 7,320 win/s]
  ep  4  loss 0.1937 (pw 0.0057 harm 0.9594)  [13s, 3,790 win/s]
  ep  5  loss 0.1607 (pw 0.0057 harm 0.6318)  [6s, 8,852 win/s]
  ep  6  loss 0.1411 (pw 0.0052 harm 0.5111)  [5s, 9,138 win/s]
  ep  7  loss 0.1316 (pw 0.0045 harm 0.4774)  [5s, 9,265 win/s]
  ep  8  loss 0.1250 (pw 0.0039 harm 0.4628)  [5s, 9,238 win/s]
  ep  9  loss 0.1208 (pw 0.0035 harm 0.4468)  [5s, 9,401 win/s]
  ep 10  loss 0.1158 (pw 0.0032 harm 0.4421)  |  MAE 9.741W  F1 0.9341  저항3종 0.970  잔차 37.4W  [5s 학습 / 0s 평가, 9,417 win/s]
  ep 11  loss 0.1131 (pw 0.0030 harm 0.4347)  [5s, 9,436 win/s]
  ep 12  loss 0.1112 (pw 0.0029 harm 0.4331)  [11s, 4,720 win/s]
  ep 13  loss 0.1082 (pw 0.0027 harm 0.4293)  [5s, 9,424 win/s]
  ep 14  loss 0.1071 (pw 0.0027 harm 0.4292)  [7s, 6,728 win/s]
  ep 15  loss 0.1056 (pw 0.0026 harm 0.4236)  [8s, 6,442 win/s]
  ep 16  loss 0.1036 (pw 0.0025 harm 0.4218)  [13s, 3,990 win/s]
  ep 17  loss 0.1007 (pw 0.0023 harm 0.4180)  [6s, 8,363 win/s]
  ep 18  loss 0.1027 (pw 0.0025 harm 0.4240)  [5s, 9,424 win/s]
  ep 19  loss 0.0995 (pw 0.0023 harm 0.4169)  [5s, 9,438 win/s]
  ep 20  loss 0.0996 (pw 0.0024 harm 0.4198)  |  MAE 5.751W  F1 0.9436  저항3종 0.981  잔차 28.8W  [14s 학습 / 0s 평가, 3,555 win/s]
  ep 21  loss 0.0962 (pw 0.0021 harm 0.4107)  [5s, 9,461 win/s]
