====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_mix — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.5581 (pw 0.0122 harm 2.4027)  [6s, 7,946 win/s]
  ep  2  loss 0.3772 (pw 0.0089 harm 2.2623)  [5s, 9,266 win/s]
  ep  3  loss 0.3318 (pw 0.0071 harm 2.1926)  [5s, 9,343 win/s]
  ep  4  loss 0.3051 (pw 0.0062 harm 2.0659)  [5s, 9,383 win/s]
  ep  5  loss 0.2824 (pw 0.0053 harm 1.8936)  [5s, 9,298 win/s]
  ep  6  loss 0.2627 (pw 0.0043 harm 1.7642)  [5s, 9,398 win/s]
  ep  7  loss 0.2462 (pw 0.0037 harm 1.6577)  [5s, 9,336 win/s]
  ep  8  loss 0.2394 (pw 0.0031 harm 1.6412)  [5s, 9,224 win/s]
  ep  9  loss 0.2386 (pw 0.0029 harm 1.6508)  [6s, 8,943 win/s]
  ep 10  loss 0.2332 (pw 0.0025 harm 1.6496)  |  MAE 6.244W  F1 0.9551  저항3종 0.997  잔차 44.1W  [6s 학습 / 0s 평가, 8,633 win/s]
  ep 11  loss 0.2319 (pw 0.0024 harm 1.6535)  [6s, 7,834 win/s]
  ep 12  loss 0.2269 (pw 0.0023 harm 1.6269)  [7s, 7,136 win/s]
  ep 13  loss 0.2276 (pw 0.0023 harm 1.6530)  [7s, 7,689 win/s]
  ep 14  loss 0.2211 (pw 0.0022 harm 1.6041)  [7s, 7,314 win/s]
  ep 15  loss 0.2201 (pw 0.0021 harm 1.6064)  [9s, 5,674 win/s]
  ep 16  loss 0.2173 (pw 0.0020 harm 1.5973)  [8s, 6,511 win/s]
  ep 17  loss 0.2179 (pw 0.0019 harm 1.6219)  [7s, 7,080 win/s]
