====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_ov — 독립 창 300,000개 (18.2GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.4879 (pw 0.0099 harm 2.0623)  [14s, 3,539 win/s]
  ep  2  loss 0.3157 (pw 0.0072 harm 1.9212)  [11s, 4,615 win/s]
  ep  3  loss 0.2753 (pw 0.0057 harm 1.8273)  [12s, 4,009 win/s]
  ep  4  loss 0.2558 (pw 0.0048 harm 1.7310)  [15s, 3,321 win/s]
  ep  5  loss 0.2340 (pw 0.0039 harm 1.5558)  [8s, 6,237 win/s]
  ep  6  loss 0.2196 (pw 0.0032 harm 1.4682)  [15s, 3,263 win/s]
  ep  7  loss 0.2100 (pw 0.0027 harm 1.4294)  [10s, 4,828 win/s]
  ep  8  loss 0.2070 (pw 0.0024 harm 1.4316)  [11s, 4,592 win/s]
  ep  9  loss 0.2061 (pw 0.0022 harm 1.4534)  [11s, 4,573 win/s]
  ep 10  loss 0.2011 (pw 0.0021 harm 1.4168)  |  MAE 5.885W  F1 0.9486  저항3종 0.996  잔차 40.7W  [11s 학습 / 1s 평가, 4,680 win/s]
  ep 11  loss 0.1996 (pw 0.0019 harm 1.4407)  [11s, 4,620 win/s]
  ep 12  loss 0.1955 (pw 0.0018 harm 1.4214)  [10s, 5,074 win/s]
  ep 13  loss 0.1904 (pw 0.0018 harm 1.3684)  [10s, 4,962 win/s]
  ep 14  loss 0.1884 (pw 0.0017 harm 1.3727)  [11s, 4,619 win/s]
  ep 15  loss 0.1899 (pw 0.0016 harm 1.3953)  [11s, 4,606 win/s]
  ep 16  loss 0.1910 (pw 0.0016 harm 1.4179)  [11s, 4,621 win/s]
  ep 17  loss 0.1862 (pw 0.0016 harm 1.3761)  [11s, 4,626 win/s]
