====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_ovh — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.5017 (pw 0.0133 harm 1.8290)  [14s, 3,537 win/s]
  ep  2  loss 0.3166 (pw 0.0104 harm 1.4035)  [15s, 3,417 win/s]
  ep  3  loss 0.2799 (pw 0.0086 harm 1.3197)  [15s, 3,432 win/s]
  ep  4  loss 0.2487 (pw 0.0080 harm 1.1040)  [14s, 3,552 win/s]
  ep  5  loss 0.2124 (pw 0.0080 harm 0.7692)  [13s, 3,761 win/s]
  ep  6  loss 0.1899 (pw 0.0073 harm 0.6520)  [6s, 8,779 win/s]
  ep  7  loss 0.1783 (pw 0.0064 harm 0.6252)  [6s, 7,715 win/s]
  ep  8  loss 0.1699 (pw 0.0057 harm 0.6056)  [6s, 7,778 win/s]
  ep  9  loss 0.1650 (pw 0.0052 harm 0.5959)  [6s, 8,759 win/s]
  ep 10  loss 0.1596 (pw 0.0049 harm 0.5859)  |  MAE 8.393W  F1 0.8911  저항3종 0.960  잔차 33.3W  [6s 학습 / 0s 평가, 8,765 win/s]
  ep 11  loss 0.1574 (pw 0.0048 harm 0.5834)  [6s, 8,736 win/s]
  ep 12  loss 0.1550 (pw 0.0048 harm 0.5785)  [11s, 4,361 win/s]
  ep 13  loss 0.1513 (pw 0.0045 harm 0.5713)  [6s, 8,744 win/s]
  ep 14  loss 0.1490 (pw 0.0045 harm 0.5698)  [11s, 4,470 win/s]
  ep 15  loss 0.1471 (pw 0.0043 harm 0.5631)  [8s, 6,002 win/s]
  ep 16  loss 0.1451 (pw 0.0043 harm 0.5616)  [15s, 3,347 win/s]
  ep 17  loss 0.1430 (pw 0.0043 harm 0.5631)  [6s, 7,780 win/s]
