====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_psmeasured — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.5772 (pw 0.0134 harm 2.5935)  [26s, 1,951 win/s]
  ep  2  loss 0.4098 (pw 0.0105 harm 2.3503)  [23s, 2,188 win/s]
  ep  3  loss 0.3749 (pw 0.0083 harm 2.2908)  [18s, 2,722 win/s]
  ep  4  loss 0.3555 (pw 0.0076 harm 2.2357)  [16s, 3,168 win/s]
  ep  5  loss 0.3344 (pw 0.0069 harm 2.0887)  [16s, 3,149 win/s]
  ep  6  loss 0.3142 (pw 0.0064 harm 1.9445)  [6s, 8,923 win/s]
  ep  7  loss 0.2996 (pw 0.0057 harm 1.8767)  [7s, 7,648 win/s]
  ep  8  loss 0.2912 (pw 0.0052 harm 1.8336)  [6s, 7,764 win/s]
  ep  9  loss 0.2857 (pw 0.0048 harm 1.8203)  [6s, 8,945 win/s]
  ep 10  loss 0.2794 (pw 0.0044 harm 1.8055)  |  MAE 7.446W  F1 0.8926  저항3종 0.977  잔차 39.8W  [6s 학습 / 0s 평가, 8,950 win/s]
  ep 11  loss 0.2779 (pw 0.0042 harm 1.8063)  [6s, 8,941 win/s]
  ep 12  loss 0.2771 (pw 0.0042 harm 1.8210)  [16s, 3,128 win/s]
  ep 13  loss 0.2737 (pw 0.0040 harm 1.8134)  [6s, 8,823 win/s]
  ep 14  loss 0.2719 (pw 0.0039 harm 1.8058)  [12s, 4,267 win/s]
  ep 15  loss 0.2703 (pw 0.0038 harm 1.8087)  [8s, 6,460 win/s]
  ep 16  loss 0.2672 (pw 0.0037 harm 1.7959)  [14s, 3,551 win/s]
  ep 17  loss 0.2635 (pw 0.0036 harm 1.7921)  [6s, 8,470 win/s]
