====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_psresistive — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.5766 (pw 0.0133 harm 2.5910)  [25s, 1,973 win/s]
  ep  2  loss 0.4082 (pw 0.0104 harm 2.3485)  [24s, 2,093 win/s]
  ep  3  loss 0.3733 (pw 0.0082 harm 2.2894)  [16s, 3,127 win/s]
  ep  4  loss 0.3534 (pw 0.0075 harm 2.2340)  [17s, 3,020 win/s]
  ep  5  loss 0.3326 (pw 0.0068 harm 2.0879)  [16s, 3,069 win/s]
  ep  6  loss 0.3121 (pw 0.0062 harm 1.9502)  [6s, 8,427 win/s]
  ep  7  loss 0.2972 (pw 0.0056 harm 1.8802)  [7s, 7,331 win/s]
  ep  8  loss 0.2894 (pw 0.0051 harm 1.8364)  [7s, 7,543 win/s]
  ep  9  loss 0.2837 (pw 0.0047 harm 1.8216)  [6s, 8,628 win/s]
  ep 10  loss 0.2770 (pw 0.0043 harm 1.8062)  |  MAE 8.314W  F1 0.8951  저항3종 0.967  잔차 38.8W  [6s 학습 / 0s 평가, 8,937 win/s]
  ep 11  loss 0.2750 (pw 0.0041 harm 1.8058)  [6s, 8,678 win/s]
  ep 12  loss 0.2740 (pw 0.0041 harm 1.8197)  [17s, 2,986 win/s]
  ep 13  loss 0.2706 (pw 0.0038 harm 1.8126)  [6s, 8,398 win/s]
  ep 14  loss 0.2690 (pw 0.0037 harm 1.8054)  [13s, 3,823 win/s]
  ep 15  loss 0.2679 (pw 0.0037 harm 1.8080)  [9s, 5,873 win/s]
  ep 16  loss 0.2642 (pw 0.0036 harm 1.7946)  [15s, 3,305 win/s]
  ep 17  loss 0.2622 (pw 0.0035 harm 1.7926)  [7s, 7,554 win/s]
