====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_smpsf — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.4939 (pw 0.0139 harm 1.8537)  [6s, 7,881 win/s]
  ep  2  loss 0.3019 (pw 0.0104 harm 1.4135)  [13s, 3,799 win/s]
  ep  3  loss 0.2650 (pw 0.0088 harm 1.3445)  [6s, 9,058 win/s]
  ep  4  loss 0.2356 (pw 0.0083 harm 1.1574)  [13s, 3,980 win/s]
  ep  5  loss 0.1994 (pw 0.0086 harm 0.8042)  [6s, 8,526 win/s]
  ep  6  loss 0.1760 (pw 0.0079 harm 0.6582)  [6s, 8,842 win/s]
  ep  7  loss 0.1660 (pw 0.0068 harm 0.6279)  [5s, 9,095 win/s]
  ep  8  loss 0.1575 (pw 0.0060 harm 0.6042)  [5s, 9,205 win/s]
  ep  9  loss 0.1533 (pw 0.0055 harm 0.5927)  [5s, 9,184 win/s]
  ep 10  loss 0.1468 (pw 0.0051 harm 0.5784)  |  MAE 8.860W  F1 0.9243  저항3종 0.984  잔차 35.6W  [5s 학습 / 0s 평가, 9,250 win/s]
  ep 11  loss 0.1456 (pw 0.0050 harm 0.5752)  [5s, 9,201 win/s]
  ep 12  loss 0.1420 (pw 0.0047 harm 0.5685)  [10s, 4,798 win/s]
  ep 13  loss 0.1390 (pw 0.0046 harm 0.5662)  [6s, 9,077 win/s]
  ep 14  loss 0.1384 (pw 0.0045 harm 0.5673)  [6s, 8,790 win/s]
  ep 15  loss 0.1363 (pw 0.0044 harm 0.5603)  [8s, 6,243 win/s]
  ep 16  loss 0.1346 (pw 0.0043 harm 0.5591)  [6s, 8,547 win/s]
  ep 17  loss 0.1324 (pw 0.0043 harm 0.5550)  [6s, 8,227 win/s]
