====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_smpsm — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.4632 (pw 0.0123 harm 1.6479)  [7s, 7,492 win/s]
  ep  2  loss 0.2749 (pw 0.0092 harm 1.2630)  [14s, 3,696 win/s]
  ep  3  loss 0.2386 (pw 0.0076 harm 1.2066)  [6s, 8,675 win/s]
  ep  4  loss 0.2136 (pw 0.0070 harm 1.0566)  [11s, 4,420 win/s]
  ep  5  loss 0.1812 (pw 0.0071 harm 0.7530)  [6s, 8,151 win/s]
  ep  6  loss 0.1624 (pw 0.0069 harm 0.6089)  [6s, 8,263 win/s]
  ep  7  loss 0.1502 (pw 0.0060 harm 0.5682)  [6s, 8,306 win/s]
  ep  8  loss 0.1434 (pw 0.0052 harm 0.5522)  [6s, 8,803 win/s]
  ep  9  loss 0.1375 (pw 0.0047 harm 0.5363)  [6s, 8,805 win/s]
  ep 10  loss 0.1338 (pw 0.0044 harm 0.5305)  |  MAE 9.822W  F1 0.9233  저항3종 0.968  잔차 37.0W  [6s 학습 / 0s 평가, 8,827 win/s]
  ep 11  loss 0.1295 (pw 0.0042 harm 0.5163)  [6s, 8,825 win/s]
  ep 12  loss 0.1263 (pw 0.0040 harm 0.5085)  [10s, 5,211 win/s]
  ep 13  loss 0.1243 (pw 0.0038 harm 0.5122)  [6s, 8,812 win/s]
  ep 14  loss 0.1235 (pw 0.0037 harm 0.5108)  [6s, 8,595 win/s]
  ep 15  loss 0.1214 (pw 0.0037 harm 0.5020)  [9s, 5,838 win/s]
  ep 16  loss 0.1202 (pw 0.0036 harm 0.5042)  [6s, 8,412 win/s]
  ep 17  loss 0.1171 (pw 0.0035 harm 0.5034)  [6s, 8,127 win/s]
