====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_smpsx — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.4631 (pw 0.0128 harm 1.7052)  [6s, 8,209 win/s]
  ep  2  loss 0.2788 (pw 0.0096 harm 1.2847)  [6s, 8,568 win/s]
  ep  3  loss 0.2407 (pw 0.0078 harm 1.2145)  [6s, 8,801 win/s]
  ep  4  loss 0.2194 (pw 0.0072 harm 1.1135)  [6s, 8,741 win/s]
  ep  5  loss 0.1860 (pw 0.0076 harm 0.7919)  [6s, 8,772 win/s]
  ep  6  loss 0.1659 (pw 0.0073 harm 0.6359)  [6s, 8,776 win/s]
  ep  7  loss 0.1548 (pw 0.0063 harm 0.5994)  [6s, 8,769 win/s]
  ep  8  loss 0.1460 (pw 0.0054 harm 0.5766)  [6s, 8,799 win/s]
  ep  9  loss 0.1431 (pw 0.0051 harm 0.5668)  [6s, 8,798 win/s]
  ep 10  loss 0.1389 (pw 0.0048 harm 0.5604)  |  MAE 9.176W  F1 0.9201  저항3종 0.975  잔차 35.7W  [6s 학습 / 0s 평가, 8,809 win/s]
  ep 11  loss 0.1346 (pw 0.0046 harm 0.5489)  [6s, 8,819 win/s]
  ep 12  loss 0.1315 (pw 0.0043 harm 0.5445)  [12s, 4,195 win/s]
  ep 13  loss 0.1298 (pw 0.0043 harm 0.5422)  [6s, 8,849 win/s]
  ep 14  loss 0.1287 (pw 0.0042 harm 0.5412)  [12s, 4,188 win/s]
  ep 15  loss 0.1262 (pw 0.0040 harm 0.5334)  [8s, 6,082 win/s]
  ep 16  loss 0.1254 (pw 0.0041 harm 0.5289)  [18s, 2,818 win/s]
  ep 17  loss 0.1217 (pw 0.0040 harm 0.5266)  [6s, 7,881 win/s]
