====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_ze1 — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.4309 (pw 0.0100 harm 1.4205)  [6s, 7,906 win/s]
  ep  2  loss 0.2507 (pw 0.0075 harm 1.1350)  [10s, 5,111 win/s]
  ep  3  loss 0.2131 (pw 0.0061 harm 1.0653)  [5s, 9,313 win/s]
  ep  4  loss 0.1913 (pw 0.0057 harm 0.9320)  [10s, 4,962 win/s]
  ep  5  loss 0.1595 (pw 0.0057 harm 0.6204)  [6s, 8,484 win/s]
  ep  6  loss 0.1406 (pw 0.0051 harm 0.5072)  [6s, 8,600 win/s]
  ep  7  loss 0.1317 (pw 0.0044 harm 0.4796)  [6s, 8,194 win/s]
  ep  8  loss 0.1258 (pw 0.0039 harm 0.4646)  [6s, 8,811 win/s]
  ep  9  loss 0.1207 (pw 0.0035 harm 0.4462)  [5s, 9,487 win/s]
  ep 10  loss 0.1168 (pw 0.0033 harm 0.4438)  |  MAE 9.629W  F1 0.9240  저항3종 0.967  잔차 41.6W  [5s 학습 / 0s 평가, 9,204 win/s]
  ep 11  loss 0.1139 (pw 0.0031 harm 0.4346)  [5s, 9,479 win/s]
  ep 12  loss 0.1131 (pw 0.0030 harm 0.4339)  [8s, 5,947 win/s]
  ep 13  loss 0.1093 (pw 0.0028 harm 0.4274)  [5s, 9,464 win/s]
  ep 14  loss 0.1089 (pw 0.0028 harm 0.4314)  [9s, 5,267 win/s]
  ep 15  loss 0.1069 (pw 0.0027 harm 0.4244)  [7s, 7,107 win/s]
  ep 16  loss 0.1048 (pw 0.0025 harm 0.4214)  [12s, 4,098 win/s]
  ep 17  loss 0.1021 (pw 0.0024 harm 0.4189)  [6s, 8,381 win/s]
