CURRENT_SCALE=20.0  PHASE_GATE_A=0.01

미니PC ON vs OFF 판별력 d′ (실측 복합)
채널                              경쟁 SMPS 없음      경쟁 SMPS 있음
현행 w·cosφ3                            0.46            0.43
현행 w·sinφ3                            1.66            0.24
**asinh Re(u3)**                      0.42            0.57
**asinh Im(u3)**                      1.50            0.12
(참고) asinh Re(I3)                     2.37            0.59
(참고) asinh |I3|                       2.30            0.55
현행 w·cosφ9                            0.86            0.41
현행 w·sinφ9                            0.93            0.08
**asinh Re(u9)**                      0.51            0.41
**asinh Im(u9)**                      0.65            0.07
(참고) asinh Re(I9)                     2.99            0.65
(참고) asinh |I9|                       2.08            0.32
