================================================================================================
[1] 기기·상태별 |I_h|/|I_1| (%)  — 통전 구간(그 상태 p90 의 절반 이상), 61주기 평활
================================================================================================
기기 / 상태                              W   |I1|mA     h2     h3     h4     h5     h6     h7     h8
electric_kettle_1/1             1456.6   6390.7   0.03   3.22   0.03   1.71   0.04   0.27   0.02
hotplate_1/2                     455.1   1566.5   0.66   0.88   0.28   2.02   0.18   1.20   0.13
oven_1/2                        1099.8   5239.8   0.18   0.51   0.13   1.64   0.13   1.04   0.08
hair_dryer_1/1                   487.0   2147.3  43.12   2.65  10.23   2.30   2.94   0.41   1.71
hair_dryer_1/2                   964.4   4256.6   0.04   2.72   0.05   2.43   0.05   0.26   0.04
fan_1/1                           21.4    115.4   0.21   9.34   0.19   8.73   0.22   0.69   0.16
fan_1/2                           29.4    144.2   0.20   7.04   0.08   3.47   0.09   0.29   0.06
fan_1/3                           37.6    170.9   0.20   3.27   0.04   1.76   0.06   0.12   0.03
air_conditioner_1/1               15.8    132.4   1.84  52.29   1.58  42.89   1.48  24.67   1.25
air_conditioner_1/2              280.3   1244.0   0.41  58.66   0.28  31.50   0.16  10.84   0.12
air_conditioner_1/3              458.4   2084.3   0.24  60.04   0.15  25.28   0.10   8.86   0.11
air_conditioner_1/4              624.4   2898.8   0.25  58.00   0.14  20.15   0.09   9.06   0.09
beam_projector_1/1                 4.6     36.3   6.67  60.56   6.58  56.39   6.38  48.14   6.01
beam_projector_1/2                44.9    206.4   1.93  89.32   2.23  74.94   2.47  57.08   2.60
beam_projector_2/1                 4.7     34.4   7.77  63.99   7.78  59.32   7.65  49.81   7.45
beam_projector_2/2                44.7    206.8   1.92  89.38   2.29  75.28   2.63  57.76   2.89
laptop_charger_1/1                25.4    129.3   3.30  90.74   3.31  82.47   3.25  73.06   3.12
laptop_charger_1/2                63.4    312.0   1.55  88.97   1.67  72.97   1.70  53.94   1.66
laptop_charger_2/1                26.5    128.9   4.81  90.44   5.13  79.49   5.40  65.37   5.52
laptop_charger_2/2                62.6    285.4   2.09  90.65   2.47  77.09   2.82  60.70   3.07
minipc_1/1                         9.2     55.3   1.37  68.41   1.42  67.49   1.17  60.40   1.09
minipc_1/2                        18.5     95.2   1.59  80.86   1.63  72.53   1.55  59.73   1.45

================================================================================================
[2] SMPS 3종 쌍별 판별력 d′  — 와트당 복소 지문, 61주기 평활 후 창(60주기) 중앙값 표본
================================================================================================
쌍                                                        짝수 h2,4,6,8     홀수 h3,5,7,9     전체 h2~h9
beam_projector_1/1 vs beam_projector_2/2                        4.01           77.23        80.85
beam_projector_1/1 vs laptop_charger_1/1                        3.29           39.93        41.00
beam_projector_1/1 vs laptop_charger_1/2                        3.35           65.56        69.61
beam_projector_1/1 vs laptop_charger_2/1                        2.25           35.19        38.32
beam_projector_1/1 vs laptop_charger_2/2                        3.82           48.90        53.94
beam_projector_1/1 vs minipc_1/1                                3.12           32.15        34.72
beam_projector_1/1 vs minipc_1/2                                2.87           36.73        38.97
beam_projector_1/1 vs oven_1/2                                  5.03          275.83       312.26
beam_projector_1/2 vs beam_projector_2/2                        0.78            7.09         7.13
beam_projector_1/2 vs laptop_charger_1/1                        1.91           17.24        17.49
beam_projector_1/2 vs laptop_charger_1/2                        1.10           24.17        24.33
beam_projector_1/2 vs laptop_charger_2/1                        1.93           17.61        18.65
beam_projector_1/2 vs laptop_charger_2/2                        0.81            5.15         5.39
beam_projector_1/2 vs minipc_1/1                                5.55           41.19        41.95
beam_projector_1/2 vs minipc_1/2                                3.34           11.33        11.73
beam_projector_1/2 vs oven_1/2                                  4.13          368.13       371.13
beam_projector_2/2 vs laptop_charger_1/1                        1.89           18.14        18.57
beam_projector_2/2 vs laptop_charger_1/2                        1.51           37.51        37.59
beam_projector_2/2 vs laptop_charger_2/1                        2.37           23.43        25.01
beam_projector_2/2 vs laptop_charger_2/2                        1.17           12.64        13.05
beam_projector_2/2 vs minipc_1/1                                5.15           48.67        49.05
beam_projector_2/2 vs minipc_1/2                                3.04           14.04        14.33
beam_projector_2/2 vs oven_1/2                                  5.08         1461.79      1482.45
laptop_charger_1/1 vs laptop_charger_2/1                        2.03           16.65        17.39
laptop_charger_1/1 vs laptop_charger_2/2                        1.98           18.13        18.36
laptop_charger_1/1 vs minipc_1/1                                6.12           16.46        17.60
laptop_charger_1/1 vs minipc_1/2                                3.73           10.95        11.50
laptop_charger_1/1 vs oven_1/2                                  1.73          300.14       313.78
laptop_charger_1/2 vs laptop_charger_2/1                        1.30           34.22        34.70
laptop_charger_1/2 vs laptop_charger_2/2                        1.25           42.12        42.57
laptop_charger_1/2 vs minipc_1/1                                5.33           23.37        23.87
laptop_charger_1/2 vs minipc_1/2                                3.15           12.92        13.22
laptop_charger_1/2 vs oven_1/2                                  1.40          671.97       678.66
laptop_charger_2/1 vs minipc_1/1                                3.91            9.31        11.55
laptop_charger_2/1 vs minipc_1/2                                2.55            4.25         4.87
laptop_charger_2/1 vs oven_1/2                                  2.04          509.71       545.99
laptop_charger_2/2 vs minipc_1/1                                4.60           19.26        20.53
laptop_charger_2/2 vs minipc_1/2                                2.72           13.75        14.26
laptop_charger_2/2 vs oven_1/2                                  2.04          979.46      1033.04
minipc_1/1 vs oven_1/2                                          8.31          302.09       307.54
minipc_1/2 vs oven_1/2                                          5.18          372.18       378.13

표본 수: beam_projector_1/1 43, beam_projector_1/2 573, beam_projector_2/2 513, laptop_charger_1/1 94, laptop_charger_1/2 756, laptop_charger_2/1 42, laptop_charger_2/2 115, minipc_1/1 400, minipc_1/2 924, oven_1/2 337
