창 간격 0.50초 | 파일별 독립 복호

기기                 p_stay     평균 지속      재현율      정밀도      F1
minipc               (원본)         -    62.2%    97.1%   0.758
                  0.90000        5s    62.3%    97.0%   0.759  <-
                  0.99000       50s    63.0%    97.0%   0.764  <-
                  0.99900      500s    62.9%    97.3%   0.764  <-
                  0.99990     5000s    62.7%    97.3%   0.762  <-
                  0.99999    50000s    62.9%    97.8%   0.766  <-
beam_projector       (원본)         -    92.0%    77.8%   0.843
                  0.90000        5s    92.5%    77.8%   0.845  <-
                  0.99000       50s    92.4%    77.8%   0.845  <-
                  0.99900      500s    92.4%    77.7%   0.844  <-
                  0.99990     5000s    92.4%    77.7%   0.844  <-
                  0.99999    50000s    92.4%    77.7%   0.844  <-
laptop_charger       (원본)         -    98.2%    83.6%   0.903
                  0.90000        5s    98.5%    84.0%   0.906  <-
                  0.99000       50s    98.5%    84.2%   0.908  <-
                  0.99900      500s    98.7%    84.1%   0.908  <-
                  0.99990     5000s    98.7%    84.1%   0.908  <-
                  0.99999    50000s    98.7%    84.2%   0.909  <-
