불변량                  격리 최소d′       복합 경쟁없음       복합 경쟁있음
φ5−5φ1                   6.7          0.38          0.47
φ7−7φ1                  10.7          0.90          0.45
φ9−9φ1                  14.9          0.81          0.41
φ5−1.67φ3                3.5          0.82          0.05
φ7−2.33φ3                0.4          0.49          0.02
φ9−3.00φ3                0.2          0.53          0.07
φ11−3.67φ3               1.0          0.47          0.07
φ9−3φ3                   0.2          0.53          0.07
φ5−φ3                    0.7          0.93          0.10
φ7−φ5                    0.1          0.51          0.21

  현행 채널은 φ_h − h·φ1 (ch38~45). 복합 d′ 0.24~0.49 였다 (12.82.2)
