세밀 가지 10초 / 광역 가지 60초
                              가까운 펄스까지      n   σ(plug)  standby W
adapt_h2_s0                   펄스 0~10초    576     0.118      13.81
adapt_h2_s0                  펄스 10~30초    269     0.057      13.44
adapt_h2_s0                    관측 <60W    151     0.441      13.44
adapt_h2_s0                 관측 60~150W    272     0.130      14.06
adapt_h2_s0                관측 150~400W      6     0.092      13.19
adapt_h2_s0                   관측 >400W    416     0.032      13.56
adapt_h2_s1                   펄스 0~10초    576     0.086      13.59
adapt_h2_s1                  펄스 10~30초    269     0.083      13.44
adapt_h2_s1                    관측 <60W    151     0.566      13.44
adapt_h2_s1                 관측 60~150W    272     0.099      13.94
adapt_h2_s1                관측 150~400W      6     0.173      13.13
adapt_h2_s1                   관측 >400W    416     0.019      12.75
adapt_h2_s2                   펄스 0~10초    576     0.095      13.75
adapt_h2_s2                  펄스 10~30초    269     0.104      13.38
adapt_h2_s2                    관측 <60W    151     0.512      13.44
adapt_h2_s2                 관측 60~150W    272     0.149      13.97
adapt_h2_s2                관측 150~400W      6     0.116      13.22
adapt_h2_s2                   관측 >400W    416     0.018      13.44
