====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 5989000e5832ef1b | 타깃 3239/3600
  ** 동작 중 휴지 지문 (session) oven: |I1| 6.44 -> 67.28 mA, 전력 15.02W **
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_ac — 독립 창 300,000개 (19.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.4846 (pw 0.0132 harm 1.8111)  [11s, 4,575 win/s]
  ep  2  loss 0.3074 (pw 0.0103 harm 1.3925)  [10s, 4,849 win/s]
  ep  3  loss 0.2685 (pw 0.0085 harm 1.3187)  [5s, 9,332 win/s]
  ep  4  loss 0.2339 (pw 0.0078 harm 1.0831)  [11s, 4,394 win/s]
  ep  5  loss 0.1968 (pw 0.0075 harm 0.7519)  [5s, 9,331 win/s]
  ep  6  loss 0.1766 (pw 0.0068 harm 0.6506)  [5s, 9,280 win/s]
  ep  7  loss 0.1652 (pw 0.0059 harm 0.6218)  [5s, 9,393 win/s]
  ep  8  loss 0.1587 (pw 0.0054 harm 0.6045)  [5s, 9,515 win/s]
  ep  9  loss 0.1541 (pw 0.0051 harm 0.5978)  [5s, 9,539 win/s]
  ep 10  loss 0.1484 (pw 0.0046 harm 0.5847)  |  MAE 8.579W  F1 0.9304  저항3종 0.972  잔차 32.4W  [5s 학습 / 0s 평가, 9,475 win/s]
  ep 11  loss 0.1462 (pw 0.0045 harm 0.5823)  [5s, 9,517 win/s]
  ep 12  loss 0.1430 (pw 0.0045 harm 0.5773)  [8s, 6,187 win/s]
  ep 13  loss 0.1398 (pw 0.0043 harm 0.5687)  [5s, 9,503 win/s]
  ep 14  loss 0.1368 (pw 0.0042 harm 0.5619)  [6s, 8,766 win/s]
  ep 15  loss 0.1366 (pw 0.0042 harm 0.5649)  [7s, 7,050 win/s]
  ep 16  loss 0.1345 (pw 0.0041 harm 0.5573)  [5s, 9,384 win/s]
  ep 17  loss 0.1318 (pw 0.0040 harm 0.5585)  [6s, 8,804 win/s]
  ep 18  loss 0.1322 (pw 0.0041 harm 0.5559)  [5s, 9,375 win/s]
  ep 19  loss 0.1284 (pw 0.0038 harm 0.5531)  [5s, 9,401 win/s]
  ep 20  loss 0.1295 (pw 0.0039 harm 0.5511)  |  MAE 8.905W  F1 0.9370  저항3종 0.952  잔차 28.5W  [12s 학습 / 0s 평가, 4,340 win/s]
  ep 21  loss 0.1270 (pw 0.0040 harm 0.5504)  [5s, 9,447 win/s]
  ep 22  loss 0.1238 (pw 0.0037 harm 0.5412)  [5s, 9,482 win/s]
  ep 23  loss 0.1232 (pw 0.0039 harm 0.5429)  [5s, 9,543 win/s]
  ep 24  loss 0.1230 (pw 0.0038 harm 0.5434)  [8s, 6,007 win/s]
  ep 25  loss 0.1205 (pw 0.0038 harm 0.5388)  [5s, 9,458 win/s]
  ep 26  loss 0.1194 (pw 0.0038 harm 0.5343)  [5s, 9,456 win/s]
  ep 27  loss 0.1190 (pw 0.0038 harm 0.5388)  [5s, 9,529 win/s]
  ep 28  loss 0.1184 (pw 0.0039 harm 0.5357)  [5s, 9,515 win/s]
  ep 29  loss 0.1165 (pw 0.0038 harm 0.5334)  [5s, 9,483 win/s]
  ep 30  loss 0.1150 (pw 0.0038 harm 0.5299)  |  MAE 6.648W  F1 0.9479  저항3종 0.977  잔차 27.6W  [5s 학습 / 0s 평가, 9,442 win/s]
  ep 31  loss 0.1184 (pw 0.0040 harm 0.5293)  [5s, 9,452 win/s]
  ep 32  loss 0.1153 (pw 0.0040 harm 0.5288)  [5s, 9,465 win/s]
  ep 33  loss 0.1135 (pw 0.0040 harm 0.5236)  [5s, 9,434 win/s]
  ep 34  loss 0.1149 (pw 0.0041 harm 0.5233)  [5s, 9,468 win/s]
  ep 35  loss 0.1121 (pw 0.0040 harm 0.5197)  [5s, 9,531 win/s]
  ep 36  loss 0.1114 (pw 0.0041 harm 0.5159)  [5s, 9,480 win/s]
