====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
  ** 동작 중 휴지 지문 (session) oven: |I1| 6.44 -> 67.28 mA, 전력 15.02W **
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_h2 — 독립 창 300,000개 (19.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.5021 (pw 0.0133 harm 1.8398)  [6s, 7,742 win/s]
  ep  2  loss 0.3194 (pw 0.0105 harm 1.4012)  [11s, 4,698 win/s]
  ep  3  loss 0.2793 (pw 0.0087 harm 1.3153)  [6s, 8,902 win/s]
  ep  4  loss 0.2482 (pw 0.0081 harm 1.1265)  [7s, 7,177 win/s]
  ep  5  loss 0.2091 (pw 0.0082 harm 0.7706)  [6s, 8,973 win/s]
  ep  6  loss 0.1865 (pw 0.0071 harm 0.6614)  [6s, 8,964 win/s]
  ep  7  loss 0.1750 (pw 0.0062 harm 0.6220)  [6s, 8,971 win/s]
  ep  8  loss 0.1673 (pw 0.0057 harm 0.6033)  [6s, 8,978 win/s]
  ep  9  loss 0.1618 (pw 0.0052 harm 0.5950)  [6s, 8,957 win/s]
  ep 10  loss 0.1576 (pw 0.0049 harm 0.5858)  |  MAE 7.734W  F1 0.8906  저항3종 0.979  잔차 35.0W  [6s 학습 / 0s 평가, 8,890 win/s]
  ep 11  loss 0.1547 (pw 0.0048 harm 0.5816)  [6s, 8,971 win/s]
  ep 12  loss 0.1517 (pw 0.0047 harm 0.5755)  [6s, 8,926 win/s]
  ep 13  loss 0.1485 (pw 0.0043 harm 0.5741)  [6s, 8,944 win/s]
  ep 14  loss 0.1466 (pw 0.0043 harm 0.5704)  [6s, 8,953 win/s]
  ep 15  loss 0.1447 (pw 0.0043 harm 0.5646)  [6s, 8,954 win/s]
  ep 16  loss 0.1427 (pw 0.0041 harm 0.5678)  [6s, 8,866 win/s]
  ep 17  loss 0.1398 (pw 0.0040 harm 0.5625)  [6s, 8,931 win/s]
  ep 18  loss 0.1392 (pw 0.0040 harm 0.5592)  [6s, 8,968 win/s]
  ep 19  loss 0.1363 (pw 0.0040 harm 0.5556)  [6s, 8,973 win/s]
  ep 20  loss 0.1364 (pw 0.0039 harm 0.5557)  |  MAE 6.817W  F1 0.9060  저항3종 0.963  잔차 28.5W  [11s 학습 / 0s 평가, 4,441 win/s]
  ep 21  loss 0.1342 (pw 0.0038 harm 0.5532)  [6s, 8,910 win/s]
  ep 22  loss 0.1334 (pw 0.0039 harm 0.5518)  [6s, 9,000 win/s]
  ep 23  loss 0.1314 (pw 0.0038 harm 0.5506)  [6s, 8,984 win/s]
  ep 24  loss 0.1313 (pw 0.0038 harm 0.5449)  [8s, 5,995 win/s]
  ep 25  loss 0.1294 (pw 0.0038 harm 0.5472)  [6s, 8,984 win/s]
  ep 26  loss 0.1296 (pw 0.0039 harm 0.5418)  [6s, 8,996 win/s]
  ep 27  loss 0.1269 (pw 0.0037 harm 0.5401)  [6s, 8,994 win/s]
  ep 28  loss 0.1254 (pw 0.0037 harm 0.5396)  [6s, 8,940 win/s]
  ep 29  loss 0.1234 (pw 0.0038 harm 0.5358)  [6s, 8,973 win/s]
  ep 30  loss 0.1229 (pw 0.0037 harm 0.5355)  |  MAE 5.922W  F1 0.9157  저항3종 0.981  잔차 26.7W  [6s 학습 / 0s 평가, 8,988 win/s]
  ep 31  loss 0.1261 (pw 0.0040 harm 0.5353)  [6s, 8,953 win/s]
  ep 32  loss 0.1226 (pw 0.0039 harm 0.5316)  [6s, 8,973 win/s]
  ep 33  loss 0.1212 (pw 0.0038 harm 0.5289)  [6s, 9,001 win/s]
  ep 34  loss 0.1233 (pw 0.0041 harm 0.5309)  [6s, 8,875 win/s]
  ep 35  loss 0.1198 (pw 0.0040 harm 0.5239)  [6s, 8,995 win/s]
  ep 36  loss 0.1192 (pw 0.0040 harm 0.5229)  [6s, 8,987 win/s]
  ep 37  loss 0.1181 (pw 0.0039 harm 0.5230)  [6s, 8,972 win/s]
  ep 38  loss 0.1200 (pw 0.0041 harm 0.5217)  [6s, 8,959 win/s]
  ep 39  loss 0.1175 (pw 0.0041 harm 0.5191)  [6s, 9,000 win/s]
  ep 40  loss 0.1156 (pw 0.0041 harm 0.5195)  |  MAE 4.766W  F1 0.9195  저항3종 0.990  잔차 26.1W  [6s 학습 / 0s 평가, 8,879 win/s]
  ep 41  loss 0.1171 (pw 0.0042 harm 0.5160)  [6s, 8,941 win/s]
  ep 42  loss 0.1152 (pw 0.0041 harm 0.5159)  [6s, 8,943 win/s]
  ep 43  loss 0.1163 (pw 0.0043 harm 0.5139)  [6s, 8,962 win/s]
  ep 44  loss 0.1153 (pw 0.0042 harm 0.5136)  [6s, 8,952 win/s]
  ep 45  loss 0.1159 (pw 0.0043 harm 0.5140)  [6s, 8,938 win/s]
  ep 46  loss 0.1134 (pw 0.0042 harm 0.5135)  [6s, 8,819 win/s]
  ep 47  loss 0.1131 (pw 0.0043 harm 0.5098)  [6s, 8,931 win/s]
