====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_hw — 독립 창 300,000개 (22.1GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.4263 (pw 0.0094 harm 1.3810)  [7s, 7,181 win/s]
  ep  2  loss 0.2563 (pw 0.0071 harm 1.1173)  [13s, 3,712 win/s]
  ep  3  loss 0.2202 (pw 0.0058 harm 1.0408)  [7s, 7,163 win/s]
  ep  4  loss 0.1985 (pw 0.0054 harm 0.8884)  [13s, 3,742 win/s]
  ep  5  loss 0.1689 (pw 0.0053 harm 0.6127)  [6s, 8,701 win/s]
  ep  6  loss 0.1494 (pw 0.0046 harm 0.5015)  [6s, 9,039 win/s]
  ep  7  loss 0.1406 (pw 0.0041 harm 0.4757)  [5s, 9,098 win/s]
  ep  8  loss 0.1334 (pw 0.0035 harm 0.4608)  [5s, 9,107 win/s]
  ep  9  loss 0.1293 (pw 0.0033 harm 0.4477)  [6s, 9,088 win/s]
  ep 10  loss 0.1248 (pw 0.0030 harm 0.4415)  |  MAE 8.393W  F1 0.8966  저항3종 0.981  잔차 36.2W  [5s 학습 / 0s 평가, 9,355 win/s]
  ep 11  loss 0.1215 (pw 0.0027 harm 0.4393)  [5s, 9,355 win/s]
  ep 12  loss 0.1207 (pw 0.0028 harm 0.4423)  [11s, 4,536 win/s]
  ep 13  loss 0.1160 (pw 0.0025 harm 0.4281)  [5s, 9,150 win/s]
  ep 14  loss 0.1158 (pw 0.0025 harm 0.4278)  [7s, 6,800 win/s]
  ep 15  loss 0.1142 (pw 0.0025 harm 0.4262)  [8s, 6,326 win/s]
  ep 16  loss 0.1128 (pw 0.0025 harm 0.4230)  [12s, 4,028 win/s]
  ep 17  loss 0.1101 (pw 0.0023 harm 0.4223)  [6s, 8,289 win/s]
  ep 18  loss 0.1101 (pw 0.0022 harm 0.4243)  [5s, 9,395 win/s]
  ep 19  loss 0.1081 (pw 0.0022 harm 0.4204)  [5s, 9,311 win/s]
  ep 20  loss 0.1073 (pw 0.0022 harm 0.4213)  |  MAE 5.517W  F1 0.9090  저항3종 0.986  잔차 29.6W  [14s 학습 / 0s 평가, 3,462 win/s]
  ep 21  loss 0.1045 (pw 0.0020 harm 0.4140)  [5s, 9,390 win/s]
