====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
  ** 세밀 채널 [50] 를 0 으로 (조인 대조, 12.114 재시험) **
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_hw2 — 독립 창 300,000개 (19.3GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.4972 (pw 0.0132 harm 1.8361)  [6s, 8,118 win/s]
  ep  2  loss 0.3171 (pw 0.0104 harm 1.4128)  [10s, 5,191 win/s]
  ep  3  loss 0.2791 (pw 0.0086 harm 1.3339)  [5s, 9,583 win/s]
  ep  4  loss 0.2541 (pw 0.0079 harm 1.2131)  [5s, 9,600 win/s]
  ep  5  loss 0.2173 (pw 0.0080 harm 0.8447)  [5s, 9,570 win/s]
  ep  6  loss 0.1919 (pw 0.0072 harm 0.6782)  [5s, 9,574 win/s]
  ep  7  loss 0.1769 (pw 0.0064 harm 0.6283)  [5s, 9,580 win/s]
  ep  8  loss 0.1694 (pw 0.0057 harm 0.6096)  [5s, 9,584 win/s]
  ep  9  loss 0.1633 (pw 0.0053 harm 0.5978)  [5s, 9,578 win/s]
  ep 10  loss 0.1582 (pw 0.0049 harm 0.5883)  |  MAE 8.716W  F1 0.8935  저항3종 0.973  잔차 36.9W  [5s 학습 / 0s 평가, 9,581 win/s]
  ep 11  loss 0.1557 (pw 0.0047 harm 0.5830)  [5s, 9,593 win/s]
  ep 12  loss 0.1526 (pw 0.0046 harm 0.5752)  [5s, 9,578 win/s]
  ep 13  loss 0.1496 (pw 0.0044 harm 0.5722)  [5s, 9,565 win/s]
  ep 14  loss 0.1476 (pw 0.0043 harm 0.5685)  [5s, 9,579 win/s]
  ep 15  loss 0.1448 (pw 0.0042 harm 0.5628)  [5s, 9,570 win/s]
  ep 16  loss 0.1435 (pw 0.0041 harm 0.5634)  [5s, 9,564 win/s]
  ep 17  loss 0.1408 (pw 0.0041 harm 0.5610)  [5s, 9,579 win/s]
  ep 18  loss 0.1405 (pw 0.0041 harm 0.5578)  [5s, 9,583 win/s]
  ep 19  loss 0.1371 (pw 0.0039 harm 0.5519)  [5s, 9,566 win/s]
  ep 20  loss 0.1374 (pw 0.0039 harm 0.5531)  |  MAE 6.933W  F1 0.9096  저항3종 0.968  잔차 30.4W  [10s 학습 / 0s 평가, 5,102 win/s]
