====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_hw2 — 독립 창 300,000개 (19.3GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.4947 (pw 0.0132 harm 1.8290)  [6s, 9,064 win/s]
  ep  2  loss 0.3129 (pw 0.0102 harm 1.4079)  [7s, 7,515 win/s]
  ep  3  loss 0.2785 (pw 0.0087 harm 1.3318)  [5s, 9,702 win/s]
  ep  4  loss 0.2523 (pw 0.0080 harm 1.1951)  [5s, 9,704 win/s]
  ep  5  loss 0.2149 (pw 0.0080 harm 0.8325)  [5s, 9,696 win/s]
  ep  6  loss 0.1906 (pw 0.0071 harm 0.6714)  [5s, 9,706 win/s]
  ep  7  loss 0.1768 (pw 0.0062 harm 0.6271)  [5s, 9,724 win/s]
  ep  8  loss 0.1695 (pw 0.0055 harm 0.6081)  [5s, 9,720 win/s]
  ep  9  loss 0.1632 (pw 0.0052 harm 0.5963)  [5s, 9,702 win/s]
  ep 10  loss 0.1574 (pw 0.0048 harm 0.5827)  |  MAE 8.616W  F1 0.8891  저항3종 0.979  잔차 37.1W  [5s 학습 / 0s 평가, 9,750 win/s]
  ep 11  loss 0.1548 (pw 0.0046 harm 0.5822)  [5s, 9,750 win/s]
  ep 12  loss 0.1515 (pw 0.0044 harm 0.5750)  [5s, 9,728 win/s]
  ep 13  loss 0.1493 (pw 0.0043 harm 0.5718)  [5s, 9,740 win/s]
  ep 14  loss 0.1477 (pw 0.0043 harm 0.5673)  [5s, 9,707 win/s]
  ep 15  loss 0.1457 (pw 0.0042 harm 0.5650)  [5s, 9,709 win/s]
  ep 16  loss 0.1433 (pw 0.0040 harm 0.5632)  [5s, 9,669 win/s]
  ep 17  loss 0.1413 (pw 0.0040 harm 0.5592)  [5s, 9,698 win/s]
  ep 18  loss 0.1406 (pw 0.0041 harm 0.5576)  [5s, 9,712 win/s]
  ep 19  loss 0.1382 (pw 0.0039 harm 0.5545)  [5s, 9,718 win/s]
  ep 20  loss 0.1386 (pw 0.0040 harm 0.5552)  |  MAE 6.593W  F1 0.9078  저항3종 0.973  잔차 30.3W  [7s 학습 / 0s 평가, 7,109 win/s]
  ep 21  loss 0.1351 (pw 0.0037 harm 0.5503)  [5s, 9,735 win/s]
