====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
  ** 동작 중 휴지 지문 (session) oven: |I1| 6.44 -> 67.28 mA, 전력 15.02W **
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_hwY — 독립 창 300,000개 (19.3GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.4946 (pw 0.0132 harm 1.8180)  [8s, 6,214 win/s]
  ep  2  loss 0.3147 (pw 0.0103 harm 1.4080)  [10s, 4,865 win/s]
  ep  3  loss 0.2789 (pw 0.0088 harm 1.3318)  [6s, 8,824 win/s]
  ep  4  loss 0.2526 (pw 0.0080 harm 1.2050)  [7s, 6,700 win/s]
  ep  5  loss 0.2143 (pw 0.0079 harm 0.8432)  [6s, 8,829 win/s]
  ep  6  loss 0.1887 (pw 0.0071 harm 0.6690)  [6s, 8,719 win/s]
  ep  7  loss 0.1756 (pw 0.0062 harm 0.6309)  [6s, 8,891 win/s]
  ep  8  loss 0.1679 (pw 0.0056 harm 0.6070)  [6s, 8,876 win/s]
  ep  9  loss 0.1630 (pw 0.0052 harm 0.5974)  [6s, 8,839 win/s]
  ep 10  loss 0.1571 (pw 0.0049 harm 0.5844)  |  MAE 9.008W  F1 0.8881  저항3종 0.971  잔차 35.7W  [6s 학습 / 0s 평가, 8,984 win/s]
  ep 11  loss 0.1539 (pw 0.0047 harm 0.5808)  [6s, 8,954 win/s]
  ep 12  loss 0.1510 (pw 0.0046 harm 0.5748)  [6s, 8,110 win/s]
  ep 13  loss 0.1489 (pw 0.0044 harm 0.5724)  [6s, 8,818 win/s]
  ep 14  loss 0.1469 (pw 0.0044 harm 0.5692)  [6s, 8,834 win/s]
  ep 15  loss 0.1450 (pw 0.0044 harm 0.5641)  [7s, 6,954 win/s]
  ep 16  loss 0.1423 (pw 0.0041 harm 0.5629)  [6s, 8,970 win/s]
  ep 17  loss 0.1411 (pw 0.0041 harm 0.5640)  [6s, 8,785 win/s]
  ep 18  loss 0.1398 (pw 0.0041 harm 0.5582)  [6s, 8,904 win/s]
  ep 19  loss 0.1369 (pw 0.0040 harm 0.5548)  [6s, 8,859 win/s]
  ep 20  loss 0.1369 (pw 0.0040 harm 0.5553)  |  MAE 7.808W  F1 0.9009  저항3종 0.961  잔차 32.0W  [12s 학습 / 0s 평가, 4,318 win/s]
  ep 21  loss 0.1343 (pw 0.0038 harm 0.5520)  [6s, 8,871 win/s]
  ep 22  loss 0.1352 (pw 0.0039 harm 0.5511)  [6s, 8,880 win/s]
  ep 23  loss 0.1314 (pw 0.0038 harm 0.5475)  [6s, 8,922 win/s]
  ep 24  loss 0.1323 (pw 0.0040 harm 0.5451)  [9s, 5,592 win/s]
  ep 25  loss 0.1301 (pw 0.0038 harm 0.5448)  [6s, 8,914 win/s]
  ep 26  loss 0.1297 (pw 0.0038 harm 0.5421)  [6s, 8,860 win/s]
  ep 27  loss 0.1284 (pw 0.0039 harm 0.5396)  [6s, 8,897 win/s]
  ep 28  loss 0.1257 (pw 0.0038 harm 0.5386)  [6s, 8,867 win/s]
