====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 5989000e5832ef1b | 타깃 3239/3600
  ** 동작 중 휴지 지문 (session) oven: |I1| 6.44 -> 67.28 mA, 전력 15.02W **
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_ph — 독립 창 300,000개 (19.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.5098 (pw 0.0133 harm 1.9985)  [8s, 6,101 win/s]
  ep  2  loss 0.3654 (pw 0.0106 harm 1.7744)  [13s, 3,962 win/s]
  ep  3  loss 0.3307 (pw 0.0092 harm 1.7206)  [6s, 8,504 win/s]
  ep  4  loss 0.3034 (pw 0.0085 harm 1.6063)  [11s, 4,430 win/s]
  ep  5  loss 0.2753 (pw 0.0086 harm 1.3098)  [6s, 8,201 win/s]
  ep  6  loss 0.2469 (pw 0.0081 harm 1.1035)  [6s, 8,916 win/s]
  ep  7  loss 0.2330 (pw 0.0070 harm 1.0622)  [6s, 8,329 win/s]
  ep  8  loss 0.2267 (pw 0.0064 harm 1.0519)  [6s, 8,310 win/s]
  ep  9  loss 0.2229 (pw 0.0062 harm 1.0481)  [6s, 8,663 win/s]
  ep 10  loss 0.2162 (pw 0.0057 harm 1.0334)  |  MAE 12.554W  F1 0.8828  저항3종 0.951  잔차 35.6W  [6s 학습 / 0s 평가, 8,688 win/s]
  ep 11  loss 0.2138 (pw 0.0055 harm 1.0351)  [6s, 8,892 win/s]
  ep 12  loss 0.2113 (pw 0.0055 harm 1.0314)  [9s, 5,563 win/s]
  ep 13  loss 0.2077 (pw 0.0053 harm 1.0212)  [6s, 9,022 win/s]
  ep 14  loss 0.2044 (pw 0.0052 harm 1.0112)  [10s, 5,101 win/s]
  ep 15  loss 0.2036 (pw 0.0051 harm 1.0159)  [7s, 6,856 win/s]
  ep 16  loss 0.2021 (pw 0.0050 harm 1.0094)  [12s, 4,032 win/s]
  ep 17  loss 0.1992 (pw 0.0049 harm 1.0169)  [6s, 7,851 win/s]
  ep 18  loss 0.2002 (pw 0.0050 harm 1.0146)  [6s, 8,660 win/s]
  ep 19  loss 0.1956 (pw 0.0047 harm 1.0080)  [6s, 8,676 win/s]
  ep 20  loss 0.1955 (pw 0.0047 harm 1.0098)  |  MAE 9.562W  F1 0.9077  저항3종 0.958  잔차 28.4W  [12s 학습 / 0s 평가, 4,158 win/s]
  ep 21  loss 0.1921 (pw 0.0047 harm 1.0070)  [6s, 8,843 win/s]
  ep 22  loss 0.1900 (pw 0.0045 harm 0.9983)  [6s, 8,701 win/s]
  ep 23  loss 0.1885 (pw 0.0045 harm 1.0050)  [6s, 8,787 win/s]
  ep 24  loss 0.1892 (pw 0.0044 harm 1.0029)  [9s, 5,674 win/s]
  ep 25  loss 0.1870 (pw 0.0044 harm 1.0015)  [6s, 8,666 win/s]
  ep 26  loss 0.1846 (pw 0.0042 harm 0.9947)  [6s, 8,545 win/s]
  ep 27  loss 0.1843 (pw 0.0042 harm 1.0028)  [6s, 8,488 win/s]
  ep 28  loss 0.1841 (pw 0.0043 harm 1.0035)  [6s, 8,533 win/s]
  ep 29  loss 0.1819 (pw 0.0040 harm 1.0028)  [6s, 8,782 win/s]
  ep 30  loss 0.1803 (pw 0.0040 harm 0.9996)  |  MAE 8.324W  F1 0.9165  저항3종 0.963  잔차 26.8W  [6s 학습 / 0s 평가, 8,756 win/s]
  ep 31  loss 0.1834 (pw 0.0041 harm 0.9991)  [6s, 8,738 win/s]
  ep 32  loss 0.1805 (pw 0.0040 harm 1.0015)  [6s, 8,327 win/s]
  ep 33  loss 0.1776 (pw 0.0038 harm 0.9971)  [6s, 8,499 win/s]
  ep 34  loss 0.1788 (pw 0.0039 harm 1.0001)  [6s, 8,628 win/s]
  ep 35  loss 0.1766 (pw 0.0039 harm 0.9934)  [6s, 8,734 win/s]
  ep 36  loss 0.1760 (pw 0.0039 harm 0.9916)  [6s, 8,669 win/s]
  ep 37  loss 0.1759 (pw 0.0039 harm 0.9948)  [6s, 8,676 win/s]
  ep 38  loss 0.1767 (pw 0.0040 harm 0.9890)  [6s, 8,767 win/s]
  ep 39  loss 0.1740 (pw 0.0038 harm 0.9916)  [6s, 8,717 win/s]
  ep 40  loss 0.1728 (pw 0.0037 harm 0.9972)  |  MAE 7.963W  F1 0.9168  저항3종 0.961  잔차 25.6W  [6s 학습 / 0s 평가, 8,702 win/s]
  ep 41  loss 0.1736 (pw 0.0038 harm 0.9914)  [6s, 8,743 win/s]
  ep 42  loss 0.1733 (pw 0.0037 harm 0.9993)  [6s, 8,741 win/s]
  ep 43  loss 0.1742 (pw 0.0039 harm 0.9921)  [6s, 8,720 win/s]
  ep 44  loss 0.1722 (pw 0.0037 harm 0.9949)  [6s, 8,386 win/s]
  ep 45  loss 0.1737 (pw 0.0039 harm 0.9890)  [6s, 8,600 win/s]
  ep 46  loss 0.1711 (pw 0.0037 harm 0.9953)  [6s, 8,642 win/s]
  ep 47  loss 0.1700 (pw 0.0036 harm 0.9920)  [6s, 8,640 win/s]
  ep 48  loss 0.1698 (pw 0.0036 harm 0.9836)  [6s, 8,696 win/s]
