====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 5989000e5832ef1b | 타깃 3239/3600
  ** 동작 중 휴지 지문 (session) oven: |I1| 6.44 -> 67.28 mA, 전력 15.02W **
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_ph5 — 독립 창 300,000개 (19.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.5066 (pw 0.0133 harm 1.9872)  [10s, 5,255 win/s]
  ep  2  loss 0.3570 (pw 0.0105 harm 1.7521)  [10s, 4,941 win/s]
  ep  3  loss 0.3235 (pw 0.0090 harm 1.6982)  [8s, 6,399 win/s]
  ep  4  loss 0.2959 (pw 0.0083 harm 1.5765)  [11s, 4,419 win/s]
  ep  5  loss 0.2650 (pw 0.0083 harm 1.2760)  [6s, 8,296 win/s]
  ep  6  loss 0.2374 (pw 0.0077 harm 1.0822)  [6s, 8,379 win/s]
  ep  7  loss 0.2261 (pw 0.0068 harm 1.0453)  [6s, 8,662 win/s]
  ep  8  loss 0.2190 (pw 0.0063 harm 1.0319)  [6s, 8,643 win/s]
  ep  9  loss 0.2149 (pw 0.0059 harm 1.0287)  [6s, 8,673 win/s]
  ep 10  loss 0.2075 (pw 0.0055 harm 1.0107)  |  MAE 13.854W  F1 0.8849  저항3종 0.945  잔차 41.1W  [6s 학습 / 0s 평가, 8,694 win/s]
  ep 11  loss 0.2055 (pw 0.0052 harm 1.0130)  [6s, 8,602 win/s]
  ep 12  loss 0.2018 (pw 0.0051 harm 1.0078)  [9s, 5,377 win/s]
  ep 13  loss 0.1974 (pw 0.0049 harm 0.9959)  [6s, 8,604 win/s]
  ep 14  loss 0.1952 (pw 0.0048 harm 0.9909)  [6s, 8,092 win/s]
  ep 15  loss 0.1952 (pw 0.0048 harm 0.9925)  [8s, 6,304 win/s]
  ep 16  loss 0.1927 (pw 0.0047 harm 0.9885)  [10s, 5,007 win/s]
  ep 17  loss 0.1897 (pw 0.0045 harm 0.9945)  [6s, 7,990 win/s]
  ep 18  loss 0.1911 (pw 0.0045 harm 0.9905)  [6s, 8,722 win/s]
  ep 19  loss 0.1858 (pw 0.0043 harm 0.9826)  [6s, 8,726 win/s]
  ep 20  loss 0.1864 (pw 0.0043 harm 0.9851)  |  MAE 10.321W  F1 0.9085  저항3종 0.950  잔차 28.4W  [12s 학습 / 0s 평가, 4,131 win/s]
  ep 21  loss 0.1842 (pw 0.0043 harm 0.9845)  [6s, 8,771 win/s]
  ep 22  loss 0.1818 (pw 0.0041 harm 0.9768)  [6s, 8,741 win/s]
  ep 23  loss 0.1801 (pw 0.0041 harm 0.9830)  [6s, 8,752 win/s]
  ep 24  loss 0.1808 (pw 0.0041 harm 0.9799)  [9s, 5,806 win/s]
  ep 25  loss 0.1773 (pw 0.0040 harm 0.9783)  [6s, 8,643 win/s]
  ep 26  loss 0.1754 (pw 0.0039 harm 0.9720)  [6s, 8,798 win/s]
  ep 27  loss 0.1760 (pw 0.0039 harm 0.9794)  [6s, 8,953 win/s]
  ep 28  loss 0.1761 (pw 0.0039 harm 0.9819)  [6s, 8,886 win/s]
  ep 29  loss 0.1740 (pw 0.0038 harm 0.9809)  [6s, 8,806 win/s]
  ep 30  loss 0.1722 (pw 0.0038 harm 0.9751)  |  MAE 8.133W  F1 0.9211  저항3종 0.966  잔차 27.8W  [6s 학습 / 0s 평가, 8,826 win/s]
  ep 31  loss 0.1737 (pw 0.0038 harm 0.9750)  [6s, 8,929 win/s]
  ep 32  loss 0.1716 (pw 0.0037 harm 0.9779)  [6s, 8,839 win/s]
  ep 33  loss 0.1702 (pw 0.0036 harm 0.9751)  [6s, 9,016 win/s]
  ep 34  loss 0.1704 (pw 0.0036 harm 0.9760)  [6s, 9,011 win/s]
  ep 35  loss 0.1683 (pw 0.0036 harm 0.9702)  [6s, 8,912 win/s]
  ep 36  loss 0.1674 (pw 0.0035 harm 0.9677)  [6s, 8,561 win/s]
  ep 37  loss 0.1679 (pw 0.0036 harm 0.9723)  [6s, 8,733 win/s]
  ep 38  loss 0.1682 (pw 0.0036 harm 0.9660)  [6s, 8,873 win/s]
