====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
  ** 동작 중 휴지 지문 (session) oven: |I1| 6.44 -> 67.28 mA, 전력 15.02W **
  ** 상시 배경 (12.166): +5.48W, |I1| +74.3 mA -> noise_sig **
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_sp — 독립 창 300,000개 (19.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.5060 (pw 0.0133 harm 1.8394)  [11s, 4,656 win/s]
  ep  2  loss 0.3223 (pw 0.0105 harm 1.4038)  [10s, 5,113 win/s]
  ep  3  loss 0.2821 (pw 0.0089 harm 1.3272)  [11s, 4,693 win/s]
  ep  4  loss 0.2552 (pw 0.0082 harm 1.1527)  [7s, 7,299 win/s]
  ep  5  loss 0.2188 (pw 0.0083 harm 0.8108)  [6s, 8,775 win/s]
  ep  6  loss 0.1949 (pw 0.0072 harm 0.6832)  [6s, 8,764 win/s]
  ep  7  loss 0.1820 (pw 0.0063 harm 0.6453)  [6s, 9,090 win/s]
  ep  8  loss 0.1723 (pw 0.0057 harm 0.6148)  [6s, 8,949 win/s]
  ep  9  loss 0.1684 (pw 0.0055 harm 0.6098)  [5s, 9,104 win/s]
  ep 10  loss 0.1613 (pw 0.0050 harm 0.5987)  |  MAE 10.074W  F1 0.8312  저항3종 0.967  잔차 49.8W  [6s 학습 / 0s 평가, 9,080 win/s]
  ep 11  loss 0.1610 (pw 0.0050 harm 0.5975)  [5s, 9,144 win/s]
  ep 12  loss 0.1575 (pw 0.0049 harm 0.5901)  [8s, 6,085 win/s]
  ep 13  loss 0.1533 (pw 0.0046 harm 0.5850)  [5s, 9,178 win/s]
  ep 14  loss 0.1513 (pw 0.0045 harm 0.5805)  [5s, 9,124 win/s]
  ep 15  loss 0.1503 (pw 0.0045 harm 0.5806)  [7s, 6,819 win/s]
  ep 16  loss 0.1483 (pw 0.0044 harm 0.5801)  [6s, 9,076 win/s]
  ep 17  loss 0.1458 (pw 0.0043 harm 0.5767)  [6s, 8,584 win/s]
  ep 18  loss 0.1441 (pw 0.0042 harm 0.5704)  [5s, 9,112 win/s]
  ep 19  loss 0.1435 (pw 0.0043 harm 0.5727)  [5s, 9,240 win/s]
  ep 20  loss 0.1394 (pw 0.0041 harm 0.5579)  |  MAE 8.573W  F1 0.8686  저항3종 0.949  잔차 33.2W  [11s 학습 / 0s 평가, 4,528 win/s]
  ep 21  loss 0.1395 (pw 0.0042 harm 0.5657)  [5s, 9,148 win/s]
  ep 22  loss 0.1384 (pw 0.0041 harm 0.5605)  [5s, 9,203 win/s]
  ep 23  loss 0.1362 (pw 0.0041 harm 0.5621)  [5s, 9,184 win/s]
  ep 24  loss 0.1364 (pw 0.0041 harm 0.5570)  [8s, 6,003 win/s]
  ep 25  loss 0.1347 (pw 0.0041 harm 0.5554)  [5s, 9,121 win/s]
  ep 26  loss 0.1327 (pw 0.0040 harm 0.5519)  [5s, 9,177 win/s]
  ep 27  loss 0.1318 (pw 0.0041 harm 0.5500)  [5s, 9,182 win/s]
  ep 28  loss 0.1308 (pw 0.0041 harm 0.5516)  [5s, 9,164 win/s]
  ep 29  loss 0.1288 (pw 0.0041 harm 0.5461)  [5s, 9,183 win/s]
  ep 30  loss 0.1285 (pw 0.0043 harm 0.5448)  |  MAE 7.971W  F1 0.8668  저항3종 0.962  잔차 31.9W  [5s 학습 / 0s 평가, 9,148 win/s]
  ep 31  loss 0.1312 (pw 0.0044 harm 0.5420)  [5s, 9,146 win/s]
  ep 32  loss 0.1272 (pw 0.0042 harm 0.5367)  [5s, 9,176 win/s]
  ep 33  loss 0.1263 (pw 0.0043 harm 0.5356)  [5s, 9,157 win/s]
  ep 34  loss 0.1264 (pw 0.0044 harm 0.5371)  [5s, 9,222 win/s]
  ep 35  loss 0.1258 (pw 0.0043 harm 0.5332)  [5s, 9,155 win/s]
  ep 36  loss 0.1241 (pw 0.0044 harm 0.5304)  [5s, 9,201 win/s]
  ep 37  loss 0.1234 (pw 0.0044 harm 0.5307)  [5s, 9,180 win/s]
  ep 38  loss 0.1254 (pw 0.0046 harm 0.5317)  [5s, 9,136 win/s]
  ep 39  loss 0.1223 (pw 0.0045 harm 0.5270)  [5s, 9,130 win/s]
  ep 40  loss 0.1215 (pw 0.0045 harm 0.5243)  |  MAE 9.782W  F1 0.8477  저항3종 0.925  잔차 34.4W  [5s 학습 / 0s 평가, 9,184 win/s]
  ep 41  loss 0.1227 (pw 0.0046 harm 0.5249)  [5s, 9,147 win/s]
  ep 42  loss 0.1220 (pw 0.0046 harm 0.5251)  [5s, 9,131 win/s]
  ep 43  loss 0.1211 (pw 0.0046 harm 0.5216)  [5s, 9,164 win/s]
  ep 44  loss 0.1215 (pw 0.0046 harm 0.5258)  [5s, 9,130 win/s]
  ep 45  loss 0.1218 (pw 0.0046 harm 0.5261)  [5s, 9,127 win/s]
  ep 46  loss 0.1196 (pw 0.0047 harm 0.5212)  [5s, 9,183 win/s]
  ep 47  loss 0.1183 (pw 0.0046 harm 0.5216)  [5s, 9,129 win/s]
  ep 48  loss 0.1194 (pw 0.0047 harm 0.5208)  [5s, 9,176 win/s]
  ep 49  loss 0.1171 (pw 0.0046 harm 0.5151)  [5s, 9,216 win/s]
  ep 50  loss 0.1171 (pw 0.0046 harm 0.5148)  |  MAE 5.100W  F1 0.8801  저항3종 0.986  잔차 28.3W  [5s 학습 / 0s 평가, 9,178 win/s]
  ep 51  loss 0.1182 (pw 0.0047 harm 0.5184)  [5s, 9,179 win/s]
  ep 52  loss 0.1160 (pw 0.0045 harm 0.5135)  [6s, 9,006 win/s]
  ep 53  loss 0.1164 (pw 0.0047 harm 0.5148)  [5s, 9,166 win/s]
  ep 54  loss 0.1161 (pw 0.0046 harm 0.5167)  [6s, 8,887 win/s]
  ep 55  loss 0.1153 (pw 0.0047 harm 0.5136)  [6s, 8,944 win/s]
  ep 56  loss 0.1134 (pw 0.0046 harm 0.5074)  [6s, 8,855 win/s]
  ep 57  loss 0.1152 (pw 0.0047 harm 0.5150)  [5s, 9,171 win/s]
  ep 58  loss 0.1146 (pw 0.0047 harm 0.5152)  [6s, 8,529 win/s]
  ep 59  loss 0.1157 (pw 0.0048 harm 0.5162)  [5s, 9,511 win/s]
  ep 60  loss 0.1135 (pw 0.0048 harm 0.5102)  |  MAE 4.955W  F1 0.8835  저항3종 0.988  잔차 26.7W  [5s 학습 / 0s 평가, 9,398 win/s]
  ep 61  loss 0.1125 (pw 0.0046 harm 0.5109)  [5s, 9,587 win/s]
  ep 62  loss 0.1139 (pw 0.0047 harm 0.5143)  [5s, 9,556 win/s]
  ep 63  loss 0.1121 (pw 0.0047 harm 0.5074)  [5s, 9,580 win/s]
  ep 64  loss 0.1120 (pw 0.0046 harm 0.5115)  [5s, 9,537 win/s]
  ep 65  loss 0.1119 (pw 0.0047 harm 0.5106)  [5s, 9,525 win/s]
  ep 66  loss 0.1104 (pw 0.0046 harm 0.5096)  [5s, 9,501 win/s]
  ep 67  loss 0.1105 (pw 0.0047 harm 0.5094)  [5s, 9,530 win/s]
  ep 68  loss 0.1111 (pw 0.0047 harm 0.5091)  [5s, 9,550 win/s]
  ep 69  loss 0.1122 (pw 0.0048 harm 0.5125)  [5s, 9,555 win/s]
  ep 70  loss 0.1106 (pw 0.0046 harm 0.5093)  |  MAE 4.617W  F1 0.8964  저항3종 0.988  잔차 26.8W  [5s 학습 / 0s 평가, 9,547 win/s]
  ep 71  loss 0.1089 (pw 0.0046 harm 0.5072)  [5s, 9,542 win/s]
  ep 72  loss 0.1119 (pw 0.0048 harm 0.5106)  [5s, 9,474 win/s]
  ep 73  loss 0.1077 (pw 0.0046 harm 0.5066)  [5s, 9,463 win/s]
  ep 74  loss 0.1103 (pw 0.0047 harm 0.5065)  [5s, 9,543 win/s]
  ep 75  loss 0.1081 (pw 0.0046 harm 0.5019)  [5s, 9,514 win/s]
  ep 76  loss 0.1094 (pw 0.0046 harm 0.5092)  [5s, 9,526 win/s]
  ep 77  loss 0.1088 (pw 0.0047 harm 0.5082)  [5s, 9,491 win/s]
  ep 78  loss 0.1081 (pw 0.0046 harm 0.5083)  [5s, 9,534 win/s]
  ep 79  loss 0.1067 (pw 0.0046 harm 0.5041)  [5s, 9,458 win/s]
  ep 80  loss 0.1084 (pw 0.0047 harm 0.5096)  |  MAE 4.196W  F1 0.8999  저항3종 0.995  잔차 25.8W  [5s 학습 / 0s 평가, 9,514 win/s]
  ep 81  loss 0.1081 (pw 0.0047 harm 0.5052)  [5s, 9,528 win/s]
  ep 82  loss 0.1081 (pw 0.0047 harm 0.5055)  [5s, 9,557 win/s]
