====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 170752c24955c352 | 타깃 3539/3600
모델 0.60M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60 — 독립 창 300,000개 (13.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.5189 (pw 0.0104 harm 2.3911)  [6s, 8,441 win/s]
  ep  2  loss 0.3402 (pw 0.0073 harm 2.1753)  [6s, 9,074 win/s]
  ep  3  loss 0.3038 (pw 0.0060 harm 2.0688)  [5s, 9,152 win/s]
  ep  4  loss 0.2700 (pw 0.0048 harm 1.8089)  [5s, 9,209 win/s]
  ep  5  loss 0.2529 (pw 0.0040 harm 1.7174)  [5s, 9,735 win/s]
  ep  6  loss 0.2432 (pw 0.0035 harm 1.6734)  [5s, 9,798 win/s]
  ep  7  loss 0.2349 (pw 0.0029 harm 1.6424)  [5s, 9,751 win/s]
  ep  8  loss 0.2296 (pw 0.0028 harm 1.6242)  [5s, 9,789 win/s]
  ep  9  loss 0.2253 (pw 0.0025 harm 1.6058)  [5s, 9,499 win/s]
  ep 10  loss 0.2222 (pw 0.0023 harm 1.6104)  |  MAE 6.124W  F1 0.9192  저항3종 0.994  잔차 36.6W  [5s 학습 / 0s 평가, 9,227 win/s]
  ep 11  loss 0.2210 (pw 0.0022 harm 1.6178)  [5s, 9,113 win/s]
  ep 12  loss 0.2222 (pw 0.0021 harm 1.6517)  [5s, 9,134 win/s]
  ep 13  loss 0.2156 (pw 0.0020 harm 1.6115)  [5s, 9,486 win/s]
  ep 14  loss 0.2192 (pw 0.0020 harm 1.6461)  [5s, 9,730 win/s]
  ep 15  loss 0.2116 (pw 0.0018 harm 1.6033)  [5s, 9,649 win/s]
  ep 16  loss 0.2156 (pw 0.0019 harm 1.6365)  [5s, 9,622 win/s]
  ep 17  loss 0.2075 (pw 0.0018 harm 1.5792)  [5s, 9,792 win/s]
  ep 18  loss 0.2111 (pw 0.0018 harm 1.6143)  [5s, 9,805 win/s]
  ep 19  loss 0.2064 (pw 0.0016 harm 1.5930)  [5s, 9,752 win/s]
  ep 20  loss 0.2084 (pw 0.0017 harm 1.6095)  |  MAE 4.558W  F1 0.9381  저항3종 0.997  잔차 32.3W  [5s 학습 / 0s 평가, 9,701 win/s]
