### [wide] 1단계 학습 Sat Aug 22 18:57:28     2026
====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.64M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_v17 — 독립 창 300,000개 (14.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.4901 (pw 0.0097 harm 2.1090)  [18s, 2,839 win/s]
  ep  2  loss 0.3210 (pw 0.0068 harm 2.0035)  [16s, 3,090 win/s]
  ep  3  loss 0.2858 (pw 0.0056 harm 1.9292)  [11s, 4,398 win/s]
  ep  4  loss 0.2674 (pw 0.0050 harm 1.8409)  [11s, 4,574 win/s]
  ep  5  loss 0.2424 (pw 0.0042 harm 1.6213)  [11s, 4,423 win/s]
  ep  6  loss 0.2239 (pw 0.0032 harm 1.5052)  [5s, 9,566 win/s]
  ep  7  loss 0.2155 (pw 0.0027 harm 1.4719)  [6s, 8,607 win/s]
  ep  8  loss 0.2104 (pw 0.0024 harm 1.4641)  [6s, 8,765 win/s]
  ep  9  loss 0.2116 (pw 0.0022 harm 1.4921)  [5s, 9,599 win/s]
  ep 10  loss 0.2052 (pw 0.0021 harm 1.4612)  [5s, 9,559 win/s]
  ep 11  loss 0.2031 (pw 0.0019 harm 1.4655)  [5s, 9,562 win/s]
  ep 12  loss 0.1980 (pw 0.0018 harm 1.4331)  [11s, 4,365 win/s]
  ep 13  loss 0.1980 (pw 0.0017 harm 1.4500)  [5s, 9,612 win/s]
  ep 14  loss 0.1941 (pw 0.0017 harm 1.4333)  [9s, 5,375 win/s]
  ep 15  loss 0.1980 (pw 0.0017 harm 1.4748)  [7s, 7,538 win/s]
  ep 16  loss 0.1919 (pw 0.0016 harm 1.4390)  [11s, 4,662 win/s]
  ep 17  loss 0.1935 (pw 0.0015 harm 1.4723)  [6s, 8,940 win/s]
  ep 18  loss 0.1904 (pw 0.0015 harm 1.4459)  [5s, 9,598 win/s]
  ep 19  loss 0.1906 (pw 0.0015 harm 1.4620)  [5s, 9,574 win/s]
  ep 20  loss 0.1913 (pw 0.0015 harm 1.4709)  [11s, 4,751 win/s]
  ep 21  loss 0.1894 (pw 0.0014 harm 1.4605)  [5s, 9,627 win/s]
  ep 22  loss 0.1852 (pw 0.0014 harm 1.4322)  [5s, 9,596 win/s]
  ep 23  loss 0.1863 (pw 0.0013 harm 1.4533)  [5s, 9,608 win/s]
  ep 24  loss 0.1854 (pw 0.0013 harm 1.4436)  [7s, 6,761 win/s]
  ep 25  loss 0.1830 (pw 0.0013 harm 1.4277)  [5s, 9,601 win/s]
  ep 26  loss 0.1813 (pw 0.0013 harm 1.4217)  [5s, 9,611 win/s]
  ep 27  loss 0.1844 (pw 0.0013 harm 1.4628)  [5s, 9,629 win/s]
  ep 28  loss 0.1822 (pw 0.0013 harm 1.4409)  [5s, 9,635 win/s]
  ep 29  loss 0.1799 (pw 0.0012 harm 1.4307)  [5s, 9,604 win/s]
  ep 30  loss 0.1804 (pw 0.0012 harm 1.4381)  [5s, 9,613 win/s]
  ep 31  loss 0.1827 (pw 0.0013 harm 1.4483)  [5s, 9,585 win/s]
  ep 32  loss 0.1788 (pw 0.0012 harm 1.4318)  [5s, 9,607 win/s]
  ep 33  loss 0.1789 (pw 0.0011 harm 1.4385)  [5s, 9,596 win/s]
  ep 34  loss 0.1803 (pw 0.0012 harm 1.4409)  [5s, 9,610 win/s]
  ep 35  loss 0.1786 (pw 0.0012 harm 1.4340)  [5s, 9,605 win/s]
  ep 36  loss 0.1779 (pw 0.0012 harm 1.4329)  [5s, 9,612 win/s]
  ep 37  loss 0.1765 (pw 0.0011 harm 1.4243)  [5s, 9,603 win/s]
  ep 38  loss 0.1775 (pw 0.0012 harm 1.4273)  [5s, 9,616 win/s]
  ep 39  loss 0.1767 (pw 0.0011 harm 1.4386)  [5s, 9,621 win/s]
  ep 40  loss 0.1744 (pw 0.0011 harm 1.4225)  [5s, 9,620 win/s]
  ep 41  loss 0.1795 (pw 0.0012 harm 1.4564)  [5s, 9,612 win/s]
  ep 42  loss 0.1757 (pw 0.0011 harm 1.4291)  [5s, 9,612 win/s]
  ep 43  loss 0.1786 (pw 0.0011 harm 1.4573)  [5s, 9,608 win/s]
  ep 44  loss 0.1777 (pw 0.0011 harm 1.4440)  [5s, 9,608 win/s]
  ep 45  loss 0.1748 (pw 0.0011 harm 1.4200)  [5s, 9,622 win/s]
  ep 46  loss 0.1752 (pw 0.0011 harm 1.4370)  [5s, 9,617 win/s]
  ep 47  loss 0.1727 (pw 0.0011 harm 1.4190)  [5s, 9,622 win/s]
  ep 48  loss 0.1743 (pw 0.0011 harm 1.4306)  [5s, 9,592 win/s]
  ep 49  loss 0.1758 (pw 0.0011 harm 1.4508)  [5s, 9,619 win/s]
  ep 50  loss 0.1748 (pw 0.0010 harm 1.4473)  |  MAE 3.126W  F1 0.9756  저항3종 1.000  잔차 25.5W  [5s 학습 / 0s 평가, 9,615 win/s]
  ep 51  loss 0.1743 (pw 0.0011 harm 1.4327)  [5s, 9,604 win/s]
  ep 52  loss 0.1768 (pw 0.0011 harm 1.4657)  [5s, 9,570 win/s]
  ep 53  loss 0.1739 (pw 0.0011 harm 1.4360)  [5s, 9,574 win/s]
  ep 54  loss 0.1731 (pw 0.0010 harm 1.4348)  [5s, 9,576 win/s]
  ep 55  loss 0.1719 (pw 0.0010 harm 1.4250)  [5s, 9,582 win/s]
  ep 56  loss 0.1749 (pw 0.0010 harm 1.4617)  [5s, 9,589 win/s]
  ep 57  loss 0.1712 (pw 0.0010 harm 1.4207)  [5s, 9,593 win/s]
  ep 58  loss 0.1728 (pw 0.0010 harm 1.4436)  [5s, 9,593 win/s]
  ep 59  loss 0.1714 (pw 0.0010 harm 1.4219)  [5s, 9,589 win/s]
  ep 60  loss 0.1696 (pw 0.0010 harm 1.4208)  [5s, 9,597 win/s]
  ep 61  loss 0.1690 (pw 0.0010 harm 1.4128)  [5s, 9,594 win/s]
  ep 62  loss 0.1704 (pw 0.0010 harm 1.4197)  [5s, 9,597 win/s]
  ep 63  loss 0.1717 (pw 0.0010 harm 1.4402)  [5s, 9,588 win/s]
  ep 64  loss 0.1681 (pw 0.0010 harm 1.4082)  [5s, 9,584 win/s]
  ep 65  loss 0.1699 (pw 0.0010 harm 1.4245)  [5s, 9,591 win/s]
  ep 66  loss 0.1671 (pw 0.0009 harm 1.4115)  [5s, 9,573 win/s]
  ep 67  loss 0.1671 (pw 0.0010 harm 1.4044)  [5s, 9,567 win/s]
  ep 68  loss 0.1722 (pw 0.0010 harm 1.4437)  [5s, 9,585 win/s]
  ep 69  loss 0.1714 (pw 0.0010 harm 1.4416)  [5s, 9,584 win/s]
  ep 70  loss 0.1702 (pw 0.0010 harm 1.4297)  [5s, 9,492 win/s]
  ep 71  loss 0.1717 (pw 0.0010 harm 1.4490)  [5s, 9,608 win/s]
  ep 72  loss 0.1705 (pw 0.0010 harm 1.4322)  [5s, 9,594 win/s]
  ep 73  loss 0.1673 (pw 0.0009 harm 1.4177)  [5s, 9,639 win/s]
  ep 74  loss 0.1717 (pw 0.0010 harm 1.4499)  [5s, 9,593 win/s]
  ep 75  loss 0.1729 (pw 0.0010 harm 1.4671)  [5s, 9,591 win/s]
  ep 76  loss 0.1686 (pw 0.0010 harm 1.4248)  [5s, 9,619 win/s]
  ep 77  loss 0.1705 (pw 0.0010 harm 1.4470)  [5s, 9,621 win/s]
  ep 78  loss 0.1663 (pw 0.0010 harm 1.4098)  [5s, 9,603 win/s]
  ep 79  loss 0.1688 (pw 0.0009 harm 1.4399)  [5s, 9,632 win/s]
  ep 80  loss 0.1699 (pw 0.0010 harm 1.4420)  [5s, 9,619 win/s]
  ep 81  loss 0.1683 (pw 0.0010 harm 1.4175)  [5s, 9,600 win/s]
  ep 82  loss 0.1668 (pw 0.0009 harm 1.4158)  [5s, 9,601 win/s]
  ep 83  loss 0.1705 (pw 0.0010 harm 1.4541)  [5s, 9,602 win/s]
  ep 84  loss 0.1687 (pw 0.0009 harm 1.4436)  [5s, 9,618 win/s]
  ep 85  loss 0.1677 (pw 0.0009 harm 1.4386)  [5s, 9,613 win/s]
  ep 86  loss 0.1683 (pw 0.0010 harm 1.4314)  [5s, 9,608 win/s]
  ep 87  loss 0.1688 (pw 0.0010 harm 1.4315)  [5s, 9,612 win/s]
  ep 88  loss 0.1679 (pw 0.0009 harm 1.4432)  [5s, 9,610 win/s]
  ep 89  loss 0.1656 (pw 0.0010 harm 1.4122)  [5s, 9,602 win/s]
  ep 90  loss 0.1658 (pw 0.0009 harm 1.4178)  [5s, 9,623 win/s]
  ep 91  loss 0.1682 (pw 0.0009 harm 1.4459)  [5s, 9,626 win/s]
  ep 92  loss 0.1673 (pw 0.0009 harm 1.4395)  [5s, 9,628 win/s]
  ep 93  loss 0.1682 (pw 0.0009 harm 1.4460)  [5s, 9,627 win/s]
  ep 94  loss 0.1676 (pw 0.0009 harm 1.4433)  [5s, 9,630 win/s]
  ep 95  loss 0.1642 (pw 0.0009 harm 1.4097)  [5s, 9,631 win/s]
  ep 96  loss 0.1677 (pw 0.0009 harm 1.4512)  [5s, 9,620 win/s]
  ep 97  loss 0.1644 (pw 0.0009 harm 1.4297)  [5s, 9,630 win/s]
  ep 98  loss 0.1690 (pw 0.0009 harm 1.4512)  [5s, 9,631 win/s]
  ep 99  loss 0.1654 (pw 0.0009 harm 1.4253)  [5s, 9,640 win/s]
  ep100  loss 0.1674 (pw 0.0009 harm 1.4431)  |  MAE 2.996W  F1 0.9796  저항3종 0.999  잔차 25.3W  [5s 학습 / 0s 평가, 9,624 win/s]
  ep101  loss 0.1667 (pw 0.0009 harm 1.4382)  [5s, 9,624 win/s]
  ep102  loss 0.1671 (pw 0.0009 harm 1.4572)  [5s, 9,645 win/s]
  ep103  loss 0.1643 (pw 0.0009 harm 1.4355)  [5s, 9,637 win/s]
  ep104  loss 0.1652 (pw 0.0009 harm 1.4386)  [5s, 9,620 win/s]
  ep105  loss 0.1662 (pw 0.0009 harm 1.4342)  [5s, 9,640 win/s]
  ep106  loss 0.1641 (pw 0.0009 harm 1.4178)  [5s, 9,638 win/s]
  ep107  loss 0.1673 (pw 0.0009 harm 1.4541)  [5s, 9,636 win/s]
  ep108  loss 0.1659 (pw 0.0009 harm 1.4477)  [5s, 9,642 win/s]
  ep109  loss 0.1626 (pw 0.0008 harm 1.4206)  [5s, 9,656 win/s]
  ep110  loss 0.1680 (pw 0.0009 harm 1.4622)  [5s, 9,649 win/s]
  ep111  loss 0.1652 (pw 0.0009 harm 1.4318)  [5s, 9,636 win/s]
  ep112  loss 0.1649 (pw 0.0009 harm 1.4319)  [5s, 9,623 win/s]
  ep113  loss 0.1642 (pw 0.0009 harm 1.4215)  [5s, 9,634 win/s]
  ep114  loss 0.1624 (pw 0.0009 harm 1.4104)  [5s, 9,632 win/s]
  ep115  loss 0.1658 (pw 0.0009 harm 1.4436)  [5s, 9,630 win/s]
  ep116  loss 0.1640 (pw 0.0009 harm 1.4302)  [5s, 9,614 win/s]
  ep117  loss 0.1624 (pw 0.0009 harm 1.4152)  [5s, 9,623 win/s]
  ep118  loss 0.1616 (pw 0.0008 harm 1.4097)  [5s, 9,618 win/s]
  ep119  loss 0.1651 (pw 0.0008 harm 1.4531)  [5s, 9,607 win/s]
  ep120  loss 0.1647 (pw 0.0009 harm 1.4399)  [5s, 9,625 win/s]
  ep121  loss 0.1608 (pw 0.0008 harm 1.4088)  [5s, 9,636 win/s]
  ep122  loss 0.1622 (pw 0.0009 harm 1.4102)  [5s, 9,629 win/s]
  ep123  loss 0.1616 (pw 0.0009 harm 1.4134)  [5s, 9,619 win/s]
  ep124  loss 0.1629 (pw 0.0008 harm 1.4321)  [5s, 9,625 win/s]
  ep125  loss 0.1639 (pw 0.0008 harm 1.4391)  [5s, 9,619 win/s]
  ep126  loss 0.1625 (pw 0.0008 harm 1.4304)  [5s, 9,628 win/s]
  ep127  loss 0.1636 (pw 0.0009 harm 1.4336)  [5s, 9,633 win/s]
  ep128  loss 0.1639 (pw 0.0008 harm 1.4452)  [5s, 9,620 win/s]
  ep129  loss 0.1650 (pw 0.0009 harm 1.4528)  [5s, 9,604 win/s]
  ep130  loss 0.1644 (pw 0.0008 harm 1.4492)  [5s, 9,607 win/s]
  ep131  loss 0.1609 (pw 0.0008 harm 1.4228)  [5s, 9,604 win/s]
  ep132  loss 0.1622 (pw 0.0008 harm 1.4358)  [5s, 9,613 win/s]
  ep133  loss 0.1594 (pw 0.0008 harm 1.4085)  [5s, 9,607 win/s]
  ep134  loss 0.1625 (pw 0.0008 harm 1.4453)  [5s, 9,599 win/s]
  ep135  loss 0.1626 (pw 0.0008 harm 1.4271)  [5s, 9,602 win/s]
  ep136  loss 0.1610 (pw 0.0008 harm 1.4125)  [5s, 9,613 win/s]
  ep137  loss 0.1618 (pw 0.0008 harm 1.4230)  [5s, 9,602 win/s]
  ep138  loss 0.1645 (pw 0.0008 harm 1.4466)  [5s, 9,615 win/s]
  ep139  loss 0.1653 (pw 0.0008 harm 1.4741)  [5s, 9,599 win/s]
  ep140  loss 0.1619 (pw 0.0008 harm 1.4450)  [5s, 9,614 win/s]
  ep141  loss 0.1624 (pw 0.0008 harm 1.4301)  [5s, 9,605 win/s]
  ep142  loss 0.1619 (pw 0.0008 harm 1.4343)  [5s, 9,614 win/s]
  ep143  loss 0.1611 (pw 0.0008 harm 1.4241)  [5s, 9,628 win/s]
  ep144  loss 0.1597 (pw 0.0008 harm 1.4236)  [5s, 9,622 win/s]
  ep145  loss 0.1609 (pw 0.0008 harm 1.4344)  [5s, 9,614 win/s]
  ep146  loss 0.1631 (pw 0.0008 harm 1.4483)  [5s, 9,623 win/s]
  ep147  loss 0.1619 (pw 0.0008 harm 1.4399)  [5s, 9,632 win/s]
  ep148  loss 0.1609 (pw 0.0008 harm 1.4401)  [5s, 9,624 win/s]
  ep149  loss 0.1606 (pw 0.0008 harm 1.4346)  [5s, 9,618 win/s]
  ep150  loss 0.1582 (pw 0.0008 harm 1.4132)  |  MAE 2.870W  F1 0.9792  저항3종 1.000  잔차 24.5W  [5s 학습 / 0s 평가, 9,615 win/s]
  ep151  loss 0.1611 (pw 0.0008 harm 1.4281)  [5s, 9,640 win/s]
  ep152  loss 0.1612 (pw 0.0008 harm 1.4359)  [5s, 9,638 win/s]
  ep153  loss 0.1567 (pw 0.0008 harm 1.3992)  [5s, 9,626 win/s]
  ep154  loss 0.1562 (pw 0.0007 harm 1.4020)  [5s, 9,616 win/s]
  ep155  loss 0.1608 (pw 0.0008 harm 1.4415)  [5s, 9,626 win/s]
  ep156  loss 0.1604 (pw 0.0008 harm 1.4133)  [5s, 9,608 win/s]
  ep157  loss 0.1603 (pw 0.0008 harm 1.4328)  [5s, 9,616 win/s]
  ep158  loss 0.1614 (pw 0.0008 harm 1.4224)  [5s, 9,617 win/s]
  ep159  loss 0.1591 (pw 0.0008 harm 1.4145)  [5s, 9,604 win/s]
  ep160  loss 0.1640 (pw 0.0008 harm 1.4692)  [5s, 9,599 win/s]
  ep161  loss 0.1599 (pw 0.0008 harm 1.4279)  [5s, 9,624 win/s]
  ep162  loss 0.1605 (pw 0.0008 harm 1.4395)  [5s, 9,645 win/s]
  ep163  loss 0.1597 (pw 0.0008 harm 1.4227)  [5s, 9,624 win/s]
  ep164  loss 0.1607 (pw 0.0008 harm 1.4299)  [5s, 9,640 win/s]
  ep165  loss 0.1613 (pw 0.0008 harm 1.4387)  [5s, 9,635 win/s]
  ep166  loss 0.1565 (pw 0.0008 harm 1.4028)  [5s, 9,628 win/s]
  ep167  loss 0.1591 (pw 0.0008 harm 1.4194)  [5s, 9,624 win/s]
  ep168  loss 0.1599 (pw 0.0008 harm 1.4375)  [5s, 9,618 win/s]
  ep169  loss 0.1595 (pw 0.0008 harm 1.4272)  [5s, 9,630 win/s]
  ep170  loss 0.1615 (pw 0.0008 harm 1.4444)  [5s, 9,610 win/s]
  ep171  loss 0.1569 (pw 0.0008 harm 1.4030)  [5s, 9,604 win/s]
  ep172  loss 0.1585 (pw 0.0008 harm 1.4256)  [5s, 9,626 win/s]
  ep173  loss 0.1601 (pw 0.0007 harm 1.4487)  [5s, 9,631 win/s]
  ep174  loss 0.1572 (pw 0.0008 harm 1.4089)  [5s, 9,623 win/s]
  ep175  loss 0.1586 (pw 0.0008 harm 1.4274)  [5s, 9,605 win/s]
  ep176  loss 0.1610 (pw 0.0007 harm 1.4541)  [5s, 9,620 win/s]
  ep177  loss 0.1591 (pw 0.0008 harm 1.4275)  [5s, 9,625 win/s]
  ep178  loss 0.1583 (pw 0.0007 harm 1.4254)  [5s, 9,623 win/s]
  ep179  loss 0.1597 (pw 0.0008 harm 1.4373)  [5s, 9,623 win/s]
  ep180  loss 0.1594 (pw 0.0007 harm 1.4397)  [5s, 9,633 win/s]
  ep181  loss 0.1577 (pw 0.0008 harm 1.4136)  [5s, 9,619 win/s]
  ep182  loss 0.1583 (pw 0.0007 harm 1.4265)  [5s, 9,595 win/s]
  ep183  loss 0.1578 (pw 0.0008 harm 1.4155)  [5s, 9,602 win/s]
  ep184  loss 0.1570 (pw 0.0008 harm 1.4120)  [5s, 9,619 win/s]
  ep185  loss 0.1578 (pw 0.0007 harm 1.4284)  [5s, 9,616 win/s]
  ep186  loss 0.1590 (pw 0.0008 harm 1.4363)  [5s, 9,608 win/s]
  ep187  loss 0.1573 (pw 0.0007 harm 1.4200)  [5s, 9,613 win/s]
  ep188  loss 0.1577 (pw 0.0007 harm 1.4324)  [5s, 9,620 win/s]
  ep189  loss 0.1562 (pw 0.0008 harm 1.4069)  [5s, 9,622 win/s]
  ep190  loss 0.1554 (pw 0.0007 harm 1.4097)  [5s, 9,644 win/s]
  ep191  loss 0.1563 (pw 0.0007 harm 1.4175)  [5s, 9,646 win/s]
  ep192  loss 0.1590 (pw 0.0008 harm 1.4353)  [5s, 9,622 win/s]
  ep193  loss 0.1597 (pw 0.0008 harm 1.4379)  [5s, 9,601 win/s]
  ep194  loss 0.1567 (pw 0.0007 harm 1.4147)  [5s, 9,607 win/s]
  ep195  loss 0.1582 (pw 0.0007 harm 1.4356)  [5s, 9,594 win/s]
  ep196  loss 0.1581 (pw 0.0007 harm 1.4343)  [5s, 9,619 win/s]
  ep197  loss 0.1589 (pw 0.0007 harm 1.4399)  [5s, 9,622 win/s]
  ep198  loss 0.1571 (pw 0.0008 harm 1.4102)  [5s, 9,613 win/s]
  ep199  loss 0.1564 (pw 0.0007 harm 1.4200)  [5s, 9,635 win/s]
  ep200  loss 0.1582 (pw 0.0007 harm 1.4376)  |  MAE 2.910W  F1 0.9799  저항3종 1.000  잔차 24.8W  [5s 학습 / 0s 평가, 9,603 win/s]
