### [fd0.2] 1단계 Sat Aug 22 20:40:22     2026
====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_v17 — 독립 창 300,000개 (14.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.5515 (pw 0.0100 harm 2.1352)  [6s, 8,499 win/s]
  ep  2  loss 0.3771 (pw 0.0081 harm 2.0629)  [6s, 7,707 win/s]
  ep  3  loss 0.3362 (pw 0.0068 harm 1.9880)  [5s, 9,108 win/s]
  ep  4  loss 0.3156 (pw 0.0063 harm 1.9444)  [6s, 8,976 win/s]
  ep  5  loss 0.2984 (pw 0.0059 harm 1.8474)  [5s, 9,099 win/s]
  ep  6  loss 0.2768 (pw 0.0051 harm 1.6897)  [5s, 9,106 win/s]
  ep  7  loss 0.2646 (pw 0.0047 harm 1.6186)  [6s, 9,074 win/s]
  ep  8  loss 0.2547 (pw 0.0042 harm 1.5915)  [6s, 9,068 win/s]
  ep  9  loss 0.2535 (pw 0.0040 harm 1.6053)  [6s, 9,085 win/s]
  ep 10  loss 0.2443 (pw 0.0037 harm 1.5644)  [6s, 9,068 win/s]
  ep 11  loss 0.2401 (pw 0.0035 harm 1.5604)  [6s, 9,066 win/s]
  ep 12  loss 0.2330 (pw 0.0034 harm 1.5204)  [6s, 9,060 win/s]
  ep 13  loss 0.2316 (pw 0.0032 harm 1.5316)  [6s, 9,060 win/s]
  ep 14  loss 0.2265 (pw 0.0031 harm 1.5093)  [6s, 9,054 win/s]
  ep 15  loss 0.2295 (pw 0.0031 harm 1.5430)  [6s, 9,051 win/s]
  ep 16  loss 0.2218 (pw 0.0029 harm 1.5005)  [6s, 9,045 win/s]
  ep 17  loss 0.2249 (pw 0.0030 harm 1.5323)  [6s, 9,075 win/s]
  ep 18  loss 0.2186 (pw 0.0029 harm 1.4989)  [5s, 9,110 win/s]
