### [fd0.2 재학습, 순서 복구 후] Sat Aug 22 22:14:02     2026
====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_v17 — 독립 창 300,000개 (14.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep  1  loss 0.5540 (pw 0.0101 harm 2.1363)  [12s, 4,222 win/s]
  ep  2  loss 0.3784 (pw 0.0082 harm 2.0652)  [11s, 4,417 win/s]
  ep  3  loss 0.3389 (pw 0.0069 harm 1.9903)  [11s, 4,431 win/s]
  ep  4  loss 0.3182 (pw 0.0064 harm 1.9490)  [11s, 4,427 win/s]
  ep  5  loss 0.3007 (pw 0.0059 harm 1.8650)  [11s, 4,483 win/s]
  ep  6  loss 0.2792 (pw 0.0053 harm 1.7127)  [11s, 4,505 win/s]
  ep  7  loss 0.2647 (pw 0.0047 harm 1.6270)  [11s, 4,584 win/s]
  ep  8  loss 0.2550 (pw 0.0042 harm 1.5964)  [11s, 4,599 win/s]
  ep  9  loss 0.2531 (pw 0.0040 harm 1.6087)  [11s, 4,553 win/s]
  ep 10  loss 0.2436 (pw 0.0036 harm 1.5650)  [11s, 4,604 win/s]
  ep 11  loss 0.2399 (pw 0.0035 harm 1.5604)  [11s, 4,534 win/s]
  ep 12  loss 0.2332 (pw 0.0034 harm 1.5191)  [9s, 5,349 win/s]
  ep 13  loss 0.2316 (pw 0.0032 harm 1.5309)  [9s, 5,525 win/s]
  ep 14  loss 0.2269 (pw 0.0032 harm 1.5073)  [11s, 4,559 win/s]
  ep 15  loss 0.2297 (pw 0.0031 harm 1.5419)  [11s, 4,525 win/s]
  ep 16  loss 0.2222 (pw 0.0029 harm 1.4989)  [11s, 4,530 win/s]
  ep 17  loss 0.2258 (pw 0.0031 harm 1.5316)  [11s, 4,704 win/s]
  ep 18  loss 0.2191 (pw 0.0029 harm 1.4988)  [11s, 4,435 win/s]
