====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 5c9ca51724095aaf | 타깃 3239/3600
  ** 동작 중 휴지 지문 (session) oven: |I1| 7.21 -> 67.91 mA, 전력 14.57W **
  ** 14.56/14.61 sig 파형 앵커 1.00할 · 기준 conducting · 기기 elec hair hotp oven **
  ** 14.49 sig 기준전압을 기기별 적합값으로 (1.00할): air_=227.7V beam=228.7V elec=227.7V fan=228.8V hair=227.3V hotp=214.4V lapt=229.0V mini=218.7V oven=210.4V **
  ** 상태별 지문 (13.11): 18개 상태를 따로 맞췄다 **
       air_conditioner    s1  와트당|I1| 7.966 mA/W   h2/h1 0.0143   h3/h1 0.5573
       air_conditioner    s2  와트당|I1| 4.395 mA/W   h2/h1 0.0013   h3/h1 0.5825
       air_conditioner    s3  와트당|I1| 4.547 mA/W   h2/h1 0.0010   h3/h1 0.6009
       air_conditioner    s4  와트당|I1| 4.632 mA/W   h2/h1 0.0010   h3/h1 0.5818
       beam_projector     s1  와트당|I1| 6.651 mA/W   h2/h1 0.0072   h3/h1 0.7624
       beam_projector     s2  와트당|I1| 4.466 mA/W   h2/h1 0.0048   h3/h1 0.9316
       electiric_kettle   s1  와트당|I1| 4.387 mA/W   h2/h1 0.0003   h3/h1 0.0326
       fan                s1  와트당|I1| 5.044 mA/W   h2/h1 0.0020   h3/h1 0.1139
       fan                s2  와트당|I1| 4.656 mA/W   h2/h1 0.0018   h3/h1 0.0786
       fan                s3  와트당|I1| 4.350 mA/W   h2/h1 0.0017   h3/h1 0.0340
       hair_dryer         s1  와트당|I1| 4.395 mA/W   h2/h1 0.4326   h3/h1 0.0271
       hair_dryer         s2  와트당|I1| 4.407 mA/W   h2/h1 0.0002   h3/h1 0.0275
       hotplate           s2  와트당|I1| 4.669 mA/W   h2/h1 0.0005   h3/h1 0.0053
       laptop_charger     s1  와트당|I1| 4.408 mA/W   h2/h1 0.0061   h3/h1 0.9756
       laptop_charger     s2  와트당|I1| 4.434 mA/W   h2/h1 0.0024   h3/h1 0.9480
       minipc             s1  와트당|I1| 5.083 mA/W   h2/h1 0.0080   h3/h1 0.9148
       minipc             s2  와트당|I1| 4.744 mA/W   h2/h1 0.0038   h3/h1 0.9186
       oven               s2  와트당|I1| 4.749 mA/W   h2/h1 0.0019   h3/h1 0.0051
모델 0.63M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
harm_vnorm 지수: air_=+0 beam=+0 elec=-1 fan=+0 hair=-1 hotp=-1 lapt=+0 mini=+0 oven=-1   (--harm-vnorm-classes 'RESISTIVE')
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_v32 — 독립 창 300,000개 (12.0GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ** 캐시 배치를 워커 4개로 미리 뽑는다 (13.47) — 색인 열은 옛 경로와 동일 **
  ep  1  loss 0.7307 (pw 0.0339 harm 2.0797 z 0.1590)  [8s, 6,450 win/s]
  ep  2  loss 0.4507 (pw 0.0206 harm 1.0278 z 0.1088)  [6s, 8,752 win/s]
  ep  3  loss 0.3975 (pw 0.0175 harm 0.9371 z 0.0906)  [6s, 8,697 win/s]
  ep  4  loss 0.3611 (pw 0.0156 harm 0.8925 z 0.0838)  [6s, 8,725 win/s]
  ep  5  loss 0.3360 (pw 0.0137 harm 0.8757 z 0.0798)  [6s, 8,721 win/s]
  ep  6  loss 0.3175 (pw 0.0126 harm 0.8615 z 0.0760)  [6s, 8,647 win/s]
  ep  7  loss 0.3071 (pw 0.0117 harm 0.8520 z 0.0729)  [6s, 8,621 win/s]
  ep  8  loss 0.2955 (pw 0.0108 harm 0.8399 z 0.0714)  [6s, 8,594 win/s]
  ep  9  loss 0.2858 (pw 0.0103 harm 0.8320 z 0.0689)  [6s, 8,573 win/s]
  ep 10  loss 0.2778 (pw 0.0099 harm 0.8214 z 0.0671)  |  MAE 17.652W  F1 0.8449  저항3종 0.983  잔차 52.0W  [6s 학습 / 0s 평가, 8,675 win/s]
  ep 11  loss 0.2735 (pw 0.0099 harm 0.8228 z 0.0653)  [6s, 8,598 win/s]
  ep 12  loss 0.2670 (pw 0.0095 harm 0.8180 z 0.0643)  [6s, 8,560 win/s]
  ep 13  loss 0.2637 (pw 0.0090 harm 0.8169 z 0.0638)  [6s, 8,640 win/s]
  ep 14  loss 0.2592 (pw 0.0090 harm 0.8148 z 0.0616)  [6s, 8,555 win/s]
  ep 15  loss 0.2565 (pw 0.0091 harm 0.8103 z 0.0614)  [6s, 8,602 win/s]
  ep 16  loss 0.2505 (pw 0.0087 harm 0.8033 z 0.0625)  [6s, 8,598 win/s]
  ep 17  loss 0.2493 (pw 0.0086 harm 0.8055 z 0.0605)  [6s, 8,594 win/s]
  ep 18  loss 0.2456 (pw 0.0082 harm 0.8013 z 0.0623)  [6s, 8,593 win/s]
